Almac�n;CODIGO;Desc. c�digo;Stock;Caducidad;Ubicaci�n;Precio;Importe;P.de Venta;Importe Venta;Dif. Precio;Dif. Importe;ABC;Familia;Descripci�n;Desc. c�digo;VA_COLOR;VA_COLOR2;VA_TOOLTIP
1;710437;ACIDO TRANEXAMICO ZENTIVA EFG 500 MG 30 COMPRIMIDOS RECUBIERTOS;0;nov-27;;;;0;;;;;01;Especialidad;ACIDO TRANEXAMICO ZENTIVA EFG 500 MG 30 COMPRIMIDOS RECUBIERTOS;;;
1;197601;ACMED CREAM 75 ML;0;;;;;0;;;;;102;Dermofarmacia;ACMED CREAM 75 ML;;;
1;180647;ACNIBEN BODY 150 ML;0;;;;;0;;;;;102;Dermofarmacia;ACNIBEN BODY 150 ML;;;
1;324591;ACNIBEN LIMPIADOR PURIF 150;0;dic-26;;;;0;;;;;102;Dermofarmacia;ACNIBEN LIMPIADOR PURIF 150;;;
1;200070;ACNIBEN REPAIR GEL CR CALMA 40;0;dic-28;;0;0;23,95;0;23,95;0;;102;Dermofarmacia;ACNIBEN REPAIR GEL CR CALMA 40;;;
1;327205;ACNOSAN SOLU 200 ML;0;;;;;0;;;;;101;Parafarmacia;ACNOSAN SOLU 200 ML;;;
1;192531;ACOFAR DISCOS SUPER ABSORBENTES DE LACTANCIA 36 UNIDADES;0;dic-26;;;;0;;;;;106;Efectos y accesorios;ACOFAR DISCOS SUPER ABSORBENTES DE LACTANCIA 36 UNIDADES;;;
1;190374;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 M X 5 CM COLOR AZUL;0;nov-26;;;;0;;;;;106;Efectos y accesorios;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 M X 5 CM COLOR AZUL;;;
1;190375;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 M X 5 CM COLOR FUCSIA;0;;;;;0;;;;;106;Efectos y accesorios;ACOFAR KINESIOLOGY TAPE VENDAJE 1 UNIDAD 5 M X 5 CM COLOR FUCSIA;;;
1;311373;ACOFAR VASELINA PURA FILANTE 1 TUBO 30 G;0;nov-28;;;;0;;;;;102;Dermofarmacia;ACOFAR VASELINA PURA FILANTE 1 TUBO 30 G;;;
1;036427;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;0;feb-27;;0;0;1,95;0;1,95;0;;101;Parafarmacia;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;;;
1;036428;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;0;ene-28;;;;0;;;;;101;Parafarmacia;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;;;
1;102506;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;0;oct-27;;;;0;;;;;101;Parafarmacia;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;;;
1;153503;ACOFARBABY ALIMENTADOR ANTIAHOGO;0;dic-30;;;;0;;;;;101;Parafarmacia;ACOFARBABY ALIMENTADOR ANTIAHOGO;;;
1;166270;ACOFARBABY PASTA AL AGUA 1 TUBO 75 ML;0;dic-26;;;;0;;;;;102;Dermofarmacia;ACOFARBABY PASTA AL AGUA 1 TUBO 75 ML;;;
