Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;
ACOF7958;ACOF7958;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;95;4;2;2;5;8;3;4;23;7;1;35;1;
ACOF9349;ACOF9349;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;1;0;0;0;1;0;0;0;0;0;0;0;0;
102506;8470001025067;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;3;0;0;0;0;0;1;1;0;0;0;0;1;
166270;8470001662705;ACOFARBABY PASTA AL AGUA 1 TUBO 75 ml;1;0;0;0;0;0;0;0;0;0;0;1;0;
203061;8470002030619;ACOFARMA NESIRA DESODORANTE 1 ROLL ON 75 ml;2;0;0;0;0;0;0;0;0;2;0;0;0;
236737;8470002367371;ACOFARMA NESIRA EDULCORANTE DE MESA 2 ENVASES 500 COMPRIMIDOS;4;0;0;1;0;0;1;0;0;0;2;0;0;
200939;8470002009394;ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ml;3;0;1;0;0;0;0;0;0;0;0;1;1;
200936;8470002009363;ACOFARMA NESIRA GEL ALMENDRAS DULCES Y MIEL 1 ENVASE 750 ml;3;0;0;0;1;0;0;0;0;0;1;1;0;
200929;8470002009295;ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ml;2;0;0;0;0;1;0;0;0;0;1;0;0;
200940;8470002009400;ACOFARMA NESIRA GEL DE VAINILLA 1 ENVASE 750 ml;1;0;0;0;0;0;0;0;0;0;0;0;1;
200938;8470002009387;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ALGAS Y COLAGENO MARINO;1;0;0;0;0;0;1;0;0;0;0;0;0;
211569;8470002115699;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ARANDANO AZUL;6;0;0;0;0;1;0;0;1;0;4;0;0;
200932;8470002009325;ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ml ORIGINAL;6;0;1;0;1;0;1;1;0;0;1;1;0;
196092;8470001960924;ACOFARMA NESIRA GEL FACIAL INVISIBLE SPF 50+ 1 TUBO 50 ml;1;0;0;0;0;0;1;0;0;0;0;0;0;
200941;8470002009417;ACOFARMA NESIRA GEL LECHE ALGODON 1 ENVASE 750 ml;2;0;0;0;0;0;2;0;0;0;0;0;0;
200950;8470002009509;ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ml;4;0;0;0;0;0;0;2;0;1;1;0;0;
200953;8470002009530;ACOFARMA NESIRA JABON MANOS ALMENDRAS DULCES Y MIEL 1 ENVASE 500 ml;2;0;0;0;0;0;0;1;0;0;0;1;0;
200951;8470002009516;ACOFARMA NESIRA JABON MANOS ALOE VERA 1 ENVASE 500 ml;2;0;0;0;0;0;0;0;0;0;0;2;0;
200954;8470002009547;ACOFARMA NESIRA JABON MANOS CERO 1 ENVASE 500 ml;2;0;0;0;1;0;0;0;0;0;0;1;0;
210980;8470002109803;ACOFARMA NESIRA JABON MANOS ESPUMA ARANDANO 1 ENVASE 250 ml;4;0;0;1;0;0;0;0;0;3;0;0;0;
198875;8470001988751;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA FLOR DE LOTO;1;0;0;0;0;0;0;0;0;0;1;0;0;
198877;8470001988775;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA LIRIO DE AGUA;1;0;0;0;0;0;0;0;0;0;1;0;0;
198876;8470001988768;ACOFARMA NESIRA JABON PASTILLA MANOS 1 ENVASE 100 g AROMA ROSA CORAL;3;0;2;0;0;0;0;0;0;0;1;0;0;
172104;8470001721044;ACOFARMA NESIRA MELATONINA 1,95 mg 60 COMPRIMIDOS;10;0;0;2;1;0;1;2;1;1;1;0;1;
150400;8470001504005;ACOFARMA NESIRA SOLUCION UNICA PARA LENTILLAS 2 UNIDADES 250 ml;1;0;0;1;0;0;0;0;0;0;0;0;0;
197649;8470001976499;ACOFARMA NESIRA SPF 15 PROTECTOR LABIAL 1 ENVASE 4,5 g;2;0;0;1;0;0;0;0;0;0;0;0;1;
198563;8470001985637;ACOFARMA NESIRA SPF 50+ PROTECTOR LABIAL 1 ENVASE 5 g;6;0;0;0;0;0;3;0;0;0;0;3;0;
196471;8470001964717;ACOFARMA NESIRA TOALLITAS PARA HIGIENE OCULAR 30 UNIDADES;1;0;0;0;0;1;0;0;0;0;0;0;0;
199110;8470001991102;ACOFARMA VIVERA CREMA DE MANOS 1 ENVASE 30 ml AROMA FLOR FRESCA DE TE;3;0;0;0;0;0;0;1;1;0;1;0;0;
190237;8470001902375;ACOFARMA VIVERA DESODORANTE 1 SPRAY 150 ml;2;0;0;0;0;0;0;0;0;0;0;0;2;
188171;8470001881717;ACOFARVITAL SOLAR INTENSIVE 60 COMPRIMIDOS;1;0;0;0;0;1;0;0;0;0;0;0;0;
726509;8470007265092;ACORE 10 MG 4 COM;1;1;0;0;0;0;0;0;0;0;0;0;0;
772681;8470007726814;ACOVIL 2.5 MG 28 COMP;3;0;1;0;0;0;0;1;0;0;1;0;0;
772665;8470007726654;ACOVIL 5 MG 28 COMP;1;0;1;0;0;0;0;0;0;0;0;0;0;
664160;8470006641606;ACOXXEL 60 MG 28 COMP;1;0;0;0;0;0;0;0;0;0;1;0;0;
