Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12
DAF005;DAF0050;DAFORTE PLUS GEL 50 ML;1;0;1;0;0;0;0;0;0;0;0;0;0
725197;8,47001E+12;DAIVOBET 50500 MCG 80 GR;11;1;1;2;1;3;1;0;0;0;0;1;1
748970;8,47001E+12;DAIVOBET PDA 60 G;2;0;1;0;0;0;0;0;0;0;0;0;1
733038;8,47001E+12;DAIVONEX CREMA 120 G;2;0;0;0;0;0;0;1;0;0;1;0;0
955419;8,47001E+12;DAKTARIN ORAL GEL 40 G;6;0;0;1;0;0;0;2;0;0;1;2;0
654138;8,47001E+12;DAKTARIN TOPICO 2% CR 40 G;6;0;0;0;4;2;0;0;0;0;0;0;0
654278;8,47001E+12;DALACIN 150 MG 24 CAP;4;0;1;1;0;0;0;0;0;0;1;0;1
654286;8,47001E+12;DALACIN 300 MG 24 CAP;20;0;2;4;3;1;1;3;1;3;0;2;0
765875;8,47001E+12;DALACIN EMUL 10 MG 30 ML;21;0;0;2;1;1;2;1;3;1;1;5;4
764111;8,47001E+12;DALINGO 165MG 30 COMPRIMIDOS;1;1;0;0;0;0;0;0;0;0;0;0;0
764113;8,47001E+12;DALINGO 82.5MG 30 COMPRIMIDOS;1;1;0;0;0;0;0;0;0;0;0;0;0
732185;8,47001E+12;DALPARAN 10 MG 28 COMP;18;0;3;1;4;2;1;1;2;0;2;2;0
660782;8,47001E+12;DALSY 40 MGML SUSP ORAL 150ML;23;3;2;5;0;0;0;2;1;1;2;4;3
666107;8,47001E+12;DALSY SUSP 20MGML 150 ML;15;4;3;1;2;0;1;0;0;0;1;2;1
679845;8,47001E+12;DALSYDOL 400 MG 30 COMP;1;0;0;0;0;0;0;0;0;0;0;1;0
195200;8,47E+12;DAOFOOD PLUS 60 CAPS;1;0;0;0;0;0;0;0;1;0;0;0;0
661172;8,47001E+12;DAPAROX 33MGML GOT ORAL 20 ML;7;1;0;0;0;1;0;0;1;2;1;1;0
881722;8,47001E+12;DARSTIN GEL 80 G;2;0;0;0;0;0;0;0;0;0;0;1;1
195481;8,47E+12;DE MEMORY STUDIO 30 CAPS;1;0;1;0;0;0;0;0;0;0;0;0;0
163353;8,47E+12;DE VISION 30 CAPS;5;0;0;0;0;0;0;0;0;0;0;0;5
740456;8,47001E+12;DEANXIT 30 GRAG;38;4;3;2;3;5;5;5;3;3;2;1;2
990325;8,47001E+12;DECAPEPTYL 3.75 MG AMP;4;1;1;0;0;0;1;0;0;0;1;0;0
745174;8,47001E+12;DECAPEPTYL DIARIO 0.1 MG 7VIAL;2;1;0;0;0;1;0;0;0;0;0;0;0
668889;8,47001E+12;DECAPEPTYL TRIMESTRAL 11.25 1A;1;0;0;0;0;0;0;0;0;1;0;0;0
963330;8,47001E+12;DECLOBAN PDA 15 G;4;1;2;0;0;0;0;0;1;0;0;0;0
963348;8,47001E+12;DECLOBAN PDA 30 G;3;0;0;0;0;0;0;0;1;0;0;1;1
679562;8,47001E+12;DEFLAZACORT CINFA 30 MG 10 COM;13;2;4;2;0;0;0;1;2;1;1;0;0
679488;8,47001E+12;DEFLAZACORT NORMON 6 MG 20 CO;2;0;0;0;0;0;1;0;0;0;0;1;0
719559;8,47001E+12;DEFLAZACORT VIR 30MG 10COM;11;2;0;0;0;0;1;0;0;2;2;2;2
759250;8,47001E+12;DELTIUS 10000 UIML 10MLGOTERO;29;0;1;1;0;0;1;0;4;9;5;3;5
701220;8,47001E+12;DELTIUS 10000 UIML GOTAS 10ML;18;1;2;4;4;2;1;4;0;0;0;0;0
726634;8,47001E+12;DELTIUS 25000 UI 4 CAPSULAS;60;5;3;2;3;4;1;2;3;9;6;10;12
701218;8,47001E+12;DELTIUS 25000 UI SOL 4X2.5 ML;60;6;5;0;4;5;4;5;7;7;3;6;8
701217;8,47001E+12;DELTIUS 250002.5 UNIDOS 2.5ML;35;1;1;3;6;0;2;2;5;6;4;4;1
762758;8,47001E+12;DELTIUS 25000UI COLECALCIF 8CA;14;3;2;4;0;0;1;1;3;0;0;0;0
730308;8,47001E+12;DELTIUS 50000UI 2 CAPSULAS;3;0;0;0;0;0;0;0;1;0;1;0;1
697784;8,47001E+12;DEMILOS 600MG 1000UI 30 CO BUC;62;5;6;6;5;5;5;4;6;6;6;5;3
728979;8,47001E+12;DEMILOS 600MG2000UI 30CO BUCO;49;4;4;4;3;1;6;1;9;3;2;7;5
993600;8,47001E+12;DENTISPRAY 5 ML;1;0;0;0;0;0;0;0;0;1;0;0;0
741561;8,47001E+12;DENUBIL 20X5 ML BEBIB;9;1;0;0;1;0;0;2;2;2;0;0;1
690016;8,47001E+12;DENVAR 400 MG 10 CAPS;1;1;0;0;0;0;0;0;0;0;0;0;0
803494;8,47001E+12;DENVAR SUSP 50 ML;1;0;0;0;0;0;0;0;0;0;0;1;0
650006;8,47001E+12;DEPAKINE 200 MG 40 COMP;3;0;0;0;0;3;0;0;0;0;0;0;0
650005;8,47001E+12;DEPAKINE 500 MG 100 COMP;1;0;0;0;0;0;0;0;0;0;0;0;1
671149;8,47001E+12;DEPAKINE CRONO 500 MG 100 COMP;7;2;0;1;0;1;1;0;1;0;1;0;0
671081;8,47001E+12;DEPAKINE SOLU 40 ML;26;2;2;2;4;0;2;6;2;2;2;2;0
702350;8,47001E+12;DEPRAX EFG 100 MG 30 COMP;72;7;7;11;7;11;3;2;6;8;4;3;3
702351;8,47001E+12;DEPRAX EFG 100 MG 60 COMP;22;2;3;2;2;4;2;1;2;1;1;1;1
034835;8,47E+12;DEPRESORES MADERA 100 UND;1;0;0;0;0;1;0;0;0;0;0;0;0
