Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470007321866;732186;STILNOX 10 MG 28 COMP;2;1,78;3,56;5,18;2,59;4,00;01/06/2028;
DISM9348;DISM9348;STITCH ESTUCHE INFANTIL VASO+PASTA DE DIENTES+ CEPILLO;1;5,54;5,54;8,95;8,95;21,00;01/03/2028;
8470005722009;572200;STOMORGYL 10 KG 20 COM;1;13,71;13,71;25,95;25,95;10,00;01/01/2027;
8470006596807;659680;STOPCOLD 20 CAPS;2;3,53;7,06;10,36;5,18;4,00;01/01/2028;
8470006758205;675820;STREFEN 8.75 MG 16 PAST CHUPAR;1;9,25;9,25;13,95;13,95;4,00;01/05/2028;
8470006628829;662882;STREPSILS FRESA 24 PAS;1;6,01;6,01;12,35;12,35;4,00;01/07/2026;
8470008022236;802223;STREPSILS LIDOCAINA 24 PAST;1;6,39;6,39;12,99;12,99;4,00;01/06/2028;
8470006948422;694842;STREPSILS LIMON SAZUCAR 24 P;1;6,01;6,01;12,35;12,35;4,00;01/01/2028;
8470009616649;961664;STREPSILS MIEL-LIMON 24 PAST;1;8,18;8,18;12,35;12,35;4,00;01/06/2028;
8470008276004;827600;STUGERON 75 MG 30 CAPS;1;2,28;2,28;3,33;3,33;4,00;01/11/2027;
8470001992529;199252;SUAV FISI TODO SIL6-18;1;4,93;4,93;7,95;7,95;21,00;01/12/2026;
8470002059948;205994;SUAVINA BALSAM CITRUS 10ML;1;1,87;1,87;3,95;3,95;21,00;01/03/2027;
8470001917690;191769;SUAVINA CREMA MANOS 40 ML;1;4,43;4,43;6,95;6,95;21,00;01/10/2026;
8470001914163;191416;SUAVINA ORIGINAL BAL LAB12TUBO;8;2,42;19,36;39,60;4,95;21,00;01/05/2028;
8470001598882;159888;SUAVINEX ANTIESTRIAS 500 ML;1;22,40;22,40;32,95;32,95;21,00;01/12/2028;
8470001523402;152340;SUAVINEX COLONIA INFANT 100ML;1;12,04;12,04;17,95;17,95;21,00;01/12/2028;
8470001790941;179094;SUAVINEX DETERGENTE BIBERONES;1;4,80;4,80;6,95;6,95;21,00;01/07/2027;
8470001751805;175180;SUAVINEX EXTRACTOR ELECTR LINK;1;78,55;78,55;110,95;110,95;21,00;01/06/2028;
8470001751799;175179;SUAVINEX EXTRACTOR MANUAL LINK;1;36,43;36,43;59,95;59,95;21,00;01/12/2030;
8470001742933;174293;SUAVINEX GEL CHAMP ESPUMOSO750;1;9,91;9,91;14,95;14,95;21,00;01/11/2027;
8470003111492;311149;SUAVINEX GEL-CR BAÑO PEDIA 500;1;10,03;10,03;14,95;14,95;21,00;Sin Fecha Cad.;
8470003111515;311151;SUAVINEX LOC HIDRATANTE 500 ML;1;9,91;9,91;14,95;14,95;21,00;01/01/2027;
8470001807014;180701;SUAVINEX PAPILLERO TERMO NIÑA;1;15,64;15,64;22,95;22,95;21,00;01/01/2030;
SUAVI524;SUAVI524;SUAVINEX PAPILLERO TERMO NIÑO;1;15,74;15,74;22,95;22,95;21,00;01/08/2026;
8470001892591;189259;SUAVINEX POMADA REPAR PAÑAL 75;1;6,36;6,36;9,95;9,95;21,00;01/12/2028;
8470001985590;198559;SUAVINEX PORTACHUPETE CLASICO;1;4,62;4,62;6,95;6,95;21,00;01/11/2027;
8470001649805;164980;SUAVINEX SONAJERO BOLAS;1;3,94;3,94;5,50;5,50;21,00;01/12/2028;
8470001695260;169526;SUAVINEX TAZA ANTIDERRAME;1;7,10;7,10;12,95;12,95;21,00;01/12/2031;
SUAVI517;SUAVI517;SUAVINEX TERMO PARA LIQUIDOS;1;14,77;14,77;21,95;21,95;21,00;01/11/2029;
8470001995292;199529;SUDOCREM MULTI EXPERT 125G;1;7,55;7,55;11,95;11,95;21,00;01/09/2028;
8470003417358;341735;SUENTILLAS ORRAVAN 1000 ML;1;5,74;5,74;8,95;8,95;10,00;01/07/2028;
8470002129580;212958;SUERO APOSAN 500 ML;1;2,09;2,09;3,95;3,95;21,00;01/12/2030;
8470000284472;028447;SUERO FISIO APOSAN BOTIQ 30U;1;2,62;2,62;4,95;4,95;21,00;01/06/2028;
8470000321672;032167;SUERO FISIO APOSAN BOTIQ 50U;1;3,50;3,50;5,95;5,95;21,00;01/06/2028;
8470007006732;700673;SUERORAL HIPOSODICO 5 SOBRES;1;2,18;2,18;3,20;3,20;4,00;01/09/2028;
8470007006725;700672;SUERORAL POLVO 5 SOBR;1;2,59;2,59;3,87;3,87;4,00;01/06/2030;
8470002352421;235242;SUITA SACARINA SOLU CONC 24 ML;1;2,87;2,87;4,95;4,95;10,00;01/01/2030;
8470006730584;673058;SULPIRIDA KERN 50 MG 30 CAP;1;1,30;1,30;1,89;1,89;4,00;01/07/2027;
8470006589236;658923;SUMATRIPTAN TEVA 50 MG 4 COM;2;6,93;13,86;24,36;12,18;4,00;01/06/2027;
8470006547588;654758;SUMIAL 10 MG 50 COM;1;0,96;0,96;1,42;1,42;4,00;01/08/2028;
8470006547571;654757;SUMIAL 40 MG 50 COM;1;1,35;1,35;1,98;1,98;4,00;01/08/2028;
8470009402884;940288;SUPO GLIC GLYCILAX 12 UN;1;2,69;2,69;6,20;6,20;4,00;01/05/2028;
8470007634669;763466;SUPO GLIC ROVI AD 12 UN;4;3,95;15,80;27,96;6,99;4,00;01/12/2029;
8470007634652;763465;SUPO GLIC ROVI NIÑOS 12 UN;1;4,31;4,31;6,99;6,99;4,00;01/12/2028;
8470008298129;829812;SUPO GLIC TORRENTS AD FCO 12UN;1;3,58;3,58;5,26;5,26;4,00;01/07/2030;
