Código;Cód. Nacional;Descripción;Unidades;P.C.M.;P.C.M. Línea;P.V.P. Línea;P.V.P.;IVA;Caducidad;
8470001514929;151492;CLEARBLUE DIGIT TEST EMBAR 1CT;1;12,44;12,44;18,95;18,95;21,00;01/01/2028;
8470001568274;156827;CLEARBLUE PLUS TEST EMBARAZO;1;4,93;4,93;8,95;8,95;21,00;01/03/2028;
8470002172357;217235;CLEARBLUE TEST EMBARA ANALO 2U;1;7,12;7,12;10,95;10,95;21,00;01/06/2028;
8470002172340;217234;CLEARBLUE TEST EMBARA DIGIT 2U;1;12,33;12,33;17,95;17,95;21,00;01/04/2027;
8470006719756;671975;CLEXANE 40 MG 10 JGAS;1;26,11;26,11;38,29;38,29;4,00;01/02/2028;
8470006719954;671995;CLEXANE 40 MG 30 JGAS;1;76,43;76,43;114,90;114,90;4,00;01/09/2027;
8470006719961;671996;CLEXANE 40MG4000UI 2JGAS 0.4ML;1;5,22;5,22;7,66;7,66;4,00;01/08/2027;
8470006719763;671976;CLEXANE 60 MG 2 JGAS;1;7,40;7,40;10,87;10,87;4,00;01/02/2028;
8470006725931;672593;CLEXANE 60 MG 30 JGAS;1;106,17;106,17;156,25;156,25;4,00;01/04/2028;
8470006752944;675294;CLEXANE 80 MG 30 JGAS;1;111,88;111,88;162,38;162,38;4,00;01/03/2028;
8470001779106;177910;CLIMAFORT 30CAP;2;16,34;32,68;49,90;24,95;10,00;01/02/2027;
8470006705704;670570;CLIMEN 21 GRAG;1;2,13;2,13;3,12;3,12;4,00;01/01/2030;
8470009049201;904920;CLIMODIEN 22 MG 28 COMP;4;8,38;33,52;49,84;12,46;4,00;01/11/2027;
8470005877280;587728;CLINDABACTIN PG 55 MG 10 COM;2;5,48;10,96;27,90;13,95;10,00;01/11/2027;
8470000661341;066134;CLINDAMICINA CLORHIDRATO 1 G;1;5,59;5,59;8,02;8,02;21,00;01/11/2028;
8470006916919;691691;CLINWAS GEL 30 G;1;2,13;2,13;3,12;3,12;4,00;01/03/2027;
8470006917091;691709;CLINWAS SOLU 30 ML;1;2,13;2,13;3,12;3,12;4,00;01/04/2028;
8470000002113;000211;CLOBETASOL PROPIONATO 1 G META;1;15,96;15,96;22,29;22,29;21,00;01/03/2028;
8470006582268;658226;CLOBEX 500 MCGG CHAMPU 125 ML;1;7,40;7,40;10,87;10,87;4,00;01/03/2028;
8470007048886;704888;CLOBISDIN 500MCGML SOLU 100ML;1;5,94;5,94;8,70;8,70;4,00;01/08/2027;
8470002135291;213529;CLOGIN ESPUMA INTIMA CLX 150ML;1;5,51;5,51;9,95;9,95;21,00;01/02/2027;
8470002135307;213530;CLOGIN OVULOS CLX 2G 10 UN;1;7,23;7,23;13,95;13,95;21,00;01/02/2027;
8470002147324;214732;CLOGIN REPAIR OVULOS 2G 10U;1;10,29;10,29;16,95;16,95;21,00;01/01/2028;
8470006632833;663283;CLOPIDOGREL CINFAMED 75MG 28CO;1;5,43;5,43;16,25;16,25;4,00;01/07/2029;
8470006900376;690037;CLOPIDOGREL CINFAMED 75MG 50CO;1;9,71;9,71;29,00;29,00;4,00;01/05/2029;
8470006724224;672422;CLOPIDOGREL NORMON 75MG28COM;1;3,26;3,26;16,25;16,25;4,00;01/02/2027;
8470007135777;713577;CLOPIDOGREL NORMON 75MG50COM;1;6,03;6,03;29,00;29,00;4,00;01/07/2026;
8470001742872;174287;CLORHEXIDINA APOSAN PULV 30 ML;1;2,17;2,17;4,95;4,95;10,00;01/10/2028;
8470001982889;198288;CLORHEXIDINA COLUTO 0.2% 500ML;1;8,56;8,56;12,95;12,95;21,00;01/02/2028;
8470002477421;247742;CLORHEXIDINA LACER SPRAY 30 ML;1;9,73;9,73;13,95;13,95;21,00;01/01/2028;
8470006566718;656671;CLORURO MORFICO SERRA 1% 1 AMP;3;0,49;1,47;2,19;0,73;4,00;01/01/2028;
8470007006947;700694;CLOTRIMAZOL CANESMED 10MG 30G;1;2,32;2,32;3,39;3,39;4,00;01/11/2027;
8470007006886;700688;CLOTRIMAZOL GINE-CANE 100MG6CO;1;2,36;2,36;3,47;3,47;4,00;01/02/2029;
8470007006916;700691;CLOTRIMAZOL GINE-CANE 20MG20G;1;2,15;2,15;3,14;3,14;4,00;01/10/2029;
8470007006893;700689;CLOTRIMAZOL GINE-CANE 500MG1CO;4;2,59;10,36;15,28;3,82;4,00;01/02/2029;
8470009520366;952036;CLOVATE 0.5 MG CR 30 G;1;1,79;1,79;2,61;2,61;4,00;01/10/2027;
8470007289340;728934;CLOVATE 500 MCG CHAMPU 125 ML;1;7,40;7,40;10,87;10,87;4,00;31/05/2027;
8470007806431;780643;CO-DIOVAN 16012.5 MG 28 COMP;1;8,17;8,17;11,99;11,99;4,00;01/09/2028;
8470007303831;730383;CO-DIOVAN 32012.5MG 28 CO DIF;3;13,88;41,64;71,88;23,96;4,00;01/05/2028;
8470007303312;730331;CO-DIOVAN 32025 MG 28 CO DIF;7;13,92;97,44;167,72;23,96;4,00;01/06/2028;
8470006573532;657353;CO-DIOVAN 8012.5 MG 28 COMP;1;4,09;4,09;5,99;5,99;4,00;01/05/2028;
8470006503898;650389;CO-DIOVAN FORTE 16025MG 28 CO;1;8,17;8,17;11,99;11,99;4,00;01/03/2028;
8470007536659;753665;COAPROVEL 15012.5 MG 28 COMP;1;6,58;6,58;9,65;9,65;4,00;01/04/2028;
8470006560372;656037;COAPROVEL 300 MG25 MG 28 COMP;1;13,17;13,17;19,29;19,29;4,00;01/02/2027;
8470007542346;754234;COAPROVEL 30012.5MG 28 COMP;1;13,16;13,16;19,29;19,29;4,00;01/07/2028;
8470006695494;669549;COD EFFERALGAN 20 COMP EFER;1;1,70;1,70;2,50;2,50;4,00;01/08/2028;
8470007960522;796052;CODEISAN 20 COMP;1;4,12;4,12;6,04;6,04;4,00;01/07/2030;
8470004426571;442657;CODERA VENTUBEL T 1;1;2,91;2,91;3,93;3,93;10,00;01/04/2029;
8470004426656;442665;CODERA VENTUBEL T 2;1;3,28;3,28;3,93;3,93;10,00;01/11/2028;
8470003167505;316750;CODERA-BANDA EPICOND FARMAL G;1;6,57;6,57;10,95;10,95;10,00;01/09/2029;
8470003167512;316751;CODERA-BANDA EPICOND FARMAL M;1;6,57;6,57;10,95;10,95;10,00;01/08/2029;
8470003167536;316753;CODERA-BANDA EPICOND FARMAL P;1;6,57;6,57;10,95;10,95;10,00;01/11/2029;
8470001810205;181020;COLAGENO MAGN FARLINE ACT 400g;1;12,78;12,78;19,95;19,95;10,00;01/04/2028;
8470007031949;703194;COLCHICINA SEID 0.5MG 20 COMP;1;1,41;1,41;2,69;2,69;4,00;01/12/2028;
8470006541302;654130;COLCHICINA SEID 1 MG 40 GRAN;1;2,25;2,25;3,29;3,29;4,00;01/10/2030;
8470007665168;766516;COLECALCIFEROL NORMO25.000UI 1;1;1,25;1,25;2,50;2,50;4,00;01/08/2027;
8470007665175;766517;COLECALCIFEROL NORMO25.000UI 4;1;4,70;4,70;9,37;9,37;4,00;01/08/2027;
8470001827524;182752;COLIGAS FAST 50 CAPSULAS;1;12,08;12,08;17,95;17,95;10,00;01/04/2028;
8470006534458;653445;COLIRCUSI DEXAM 0.1% 10ML;1;1,99;1,99;2,90;2,90;4,00;01/10/2028;
8470006534700;653470;COLIRCUSI GENTAMIC 0.3% 10ML;1;2,30;2,30;3,36;3,36;4,00;01/04/2027;
8470006548264;654826;COLIROFTA ATROPINA 0.5 % 10ML;1;3,48;3,48;5,10;5,10;4,00;01/12/2027;
8470006548257;654825;COLIROFTA CICLOPEJICO 1 % 10ML;1;3,12;3,12;4,57;4,57;4,00;01/09/2027;
8470006534861;653486;COLIROFTA TROPICAMIDA 1% 5 ML;1;3,65;3,65;5,35;5,35;4,00;01/04/2028;
8470001768582;176858;COLNATUR COMPLEX NEUTRO 324 GR;1;16,65;16,65;23,95;23,95;10,00;01/10/2026;
8470006531136;653113;COLPOTROFIN CR VAGINAL 30 GR;1;6,69;6,69;9,80;9,80;4,00;01/03/2027;
8470001723741;172374;COLUT SIN ALCOH FARLINE 500ML;1;2,62;2,62;4,95;4,95;21,00;01/07/2028;
8470007648260;764826;COMBIGAN DIFARMED 2 mg/ml + 5 mg/ml COLIRIO EN SOLUCION 1 FRASCO 5 ml;1;10,28;10,28;15,67;15,67;4,00;01/10/2026;
8470001551023;155102;COMFORT BALM 300 ML;1;13,05;13,05;16,95;16,95;21,00;01/11/2026;
8470001559173;155917;COMPEED AMP SPORT PLANTA PIE 5;1;7,01;7,01;10,95;10,95;10,00;01/10/2027;
8470002068407;206840;COMPEED AMPOLLAS EXTREME 10 UN;1;14,47;14,47;21,95;21,95;10,00;01/09/2027;
8470002068414;206841;COMPEED AMPOLLAS MIXTO 10 UN;2;11,88;23,76;39,90;19,95;10,00;01/03/2027;
8470002112339;211233;COMPEED ANTIGRANOS DISCRE 15UN;1;11,60;11,60;16,95;16,95;21,00;01/07/2027;
8470003245661;324566;COMPEED APOSIT DUREZAS MD 6 UN;1;5,98;5,98;9,95;9,95;10,00;01/03/2029;
8470002697614;269761;COMPEED APOSITOS AMPOLLAS PQ 6;1;6,88;6,88;9,95;9,95;10,00;01/11/2027;
8470003245586;324558;COMPEED APOSITOS CALLOS 10 UN;1;5,44;5,44;8,95;8,95;10,00;01/09/2027;
8470001629210;162921;COMPEED PACK MIXTO AMP 5 UN;1;7,93;7,93;11,95;11,95;10,00;01/04/2028;
8470002323575;232357;COMPEED PARCHE CALENTURAS 15 U;1;9,85;9,85;15,95;15,95;10,00;01/09/2027;
8470001981394;198139;COMPEED STICK ANTIFRICC 8 ML;1;11,16;11,16;14,95;14,95;21,00;01/10/2026;
8470006593844;659384;COMPETACT 15850 MG 56 COM;1;21,99;21,99;32,24;32,24;4,00;01/10/2026;
8470004822571;482257;COMPRESA ESTERIL APOSAN 100 UN;13;2,69;34,97;68,77;5,29;10,00;01/03/2030;
8470004822328;482232;COMPRESA ESTERIL APOSAN 25 UN;2;0,78;1,56;3,20;1,60;10,00;01/07/2030;
8470004822403;482240;COMPRESA ESTERIL APOSAN 50 UN;11;1,48;16,28;31,90;2,90;10,00;01/02/2030;
8470001735614;173561;COMPRESA EVAX COTTON ALAS 19;1;2,32;2,32;4,95;4,95;4,00;01/10/2028;
8470001735638;173563;COMPRESA EVAX COTTON SPL ALA12;1;2,32;2,32;4,95;4,95;4,00;01/10/2028;
8470001783523;178352;COMPRESA FARMACO PLUS MINI 15U;2;4,78;9,56;15,90;7,95;10,00;01/05/2028;
8470001783547;178354;COMPRESA FARMACO PLUS SUPE 10U;3;2,93;8,79;23,85;7,95;10,00;01/01/2027;
8470003152532;315253;COMPRESA FARMACONF DIA ALA 10U;2;3,59;7,18;11,90;5,95;4,00;01/05/2028;
8470004821666;482166;COMPRESA GASA EST INDAS 50 UN;1;2,41;2,41;2,90;2,90;10,00;01/03/2029;
8470001380999;138099;COMPRESA INDAS MATERN CELU 25U;1;1,90;1,90;2,95;2,95;4,00;01/02/2028;
8470003158046;315804;COMPRESA MATERNITY ALGODON 20U;1;3,08;3,08;4,95;4,95;4,00;01/06/2027;
8470006628492;662849;CONBRIZA 20MG 28COMP;1;23,45;23,45;34,41;34,41;4,00;01/07/2026;
8470007137924;713792;CONCERTA 18 MG 30 COMP;1;6,82;6,82;9,44;9,44;4,00;01/12/2027;
8470007222156;722215;CONCERTA 36 MG 30 COMP;1;12,88;12,88;18,90;18,90;4,00;01/07/2028;
8470007223146;722314;CONCERTA 54 MG 30 COMP;1;19,32;19,32;28,35;28,35;4,00;01/02/2028;
8470008152414;815241;CONDROSAN 60 CAPSULAS;17;7,40;125,80;197,71;11,63;4,00;01/07/2029;
8470008152179;815217;CONDROSULF 400 MG 60 CAPS;2;7,93;15,86;23,26;11,63;4,00;01/07/2029;
8470005783949;578394;CONOFITE 20 ML;1;2,26;2,26;31,95;31,95;10,00;01/01/2027;
8470001619600;161960;CONTOUR NEXT 25 TIRAS REACTIV;1;15,76;15,76;22,95;22,95;10,00;01/02/2027;
8470001619617;161961;CONTOUR NEXT 50 TIRAS REACTIV;1;31,67;31,67;45,95;45,95;10,00;01/11/2026;
8470001869746;186974;CONTROL G.MASAJ THAIPASS 200ML;1;9,04;9,04;14,95;14,95;21,00;01/07/2028;
8470001925435;192543;CONTROL LUBRICANTE ALOE 75 ML;1;7,52;7,52;12,95;12,95;21,00;01/05/2027;
8470001755902;175590;CONTROL PRES FINISS ULTRAF 10U;1;8,70;8,70;13,95;13,95;4,00;01/08/2029;
8470003711203;371120;CONTROL PRESERVATIV NATURE 12U;1;4,34;4,34;7,95;7,95;4,00;01/08/2027;
8470002151987;215198;CONTROLCOL 90 COMPRIMIDOS;1;20,99;20,99;30,95;30,95;10,00;01/01/2028;
8470003111614;311161;COREGA EXT FTE SIN SABOR 40 ML;1;7,67;7,67;12,95;12,95;10,00;01/07/2026;
8470001513298;151329;COREGA EXT FTE SIN SABOR 70 GR;2;10,89;21,78;35,90;17,95;10,00;01/09/2026;
8470003497879;349787;COREGA OXIGENO BIACTIVO 30TABL;1;6,89;6,89;9,95;9,95;21,00;01/11/2027;
8470001854285;185428;COREGA OXIGENO BIACTIVO108TABL;2;13,28;26,56;47,90;23,95;21,00;01/01/2027;
8470002048683;204868;COREGA SELLADO MAXIM MENTA 40G;1;9,78;9,78;14,95;14,95;10,00;01/10/2026;
8470002548473;254847;COREGA SUPER ULTR CR EXT FTE40;1;7,62;7,62;12,95;12,95;10,00;01/09/2026;
8470003002936;300293;COREGA SUPER ULTR CR EXT FTE70;1;11,27;11,27;15,95;15,95;10,00;01/02/2027;
8470002163423;216342;COREGA SUPREME 40G;1;9,95;9,95;14,95;14,95;10,00;01/10/2027;
8470002163430;216343;COREGA SUPREME 70G;1;14,65;14,65;21,95;21,95;10,00;01/10/2027;
8470002328761;232876;CORPITOL GOTAS 20 ML;1;11,34;11,34;16,95;16,95;10,00;01/03/2027;
8470003764186;376418;CORPITOL GOTAS 50 ML;1;25,39;25,39;36,95;36,95;10,00;01/05/2027;
8470001194534;119453;CORTAPULVERIZ PASTIL HILEFARMA;1;9,00;9,00;12,90;12,90;21,00;01/10/2030;
8470005873640;587364;CORTAVANCE 0.58MGML 76ML HDPE;1;21,02;21,02;35,95;35,95;10,00;01/05/2027;
8470009931889;993188;COSLAN 250 MG 20 CAPS;1;1,14;1,14;1,67;1,67;4,00;01/01/2028;
8470004826203;482620;COSMOPOR E APOSITO 10X6 CM;1;2,90;2,90;3,43;3,43;10,00;01/06/2030;
8470004826388;482638;COSMOPOR E APOSITO 10X8 CM;2;3,83;7,66;9,14;4,57;10,00;01/08/2030;
8470004826463;482646;COSMOPOR E APOSITO 15X8 CM;1;5,82;5,82;6,85;6,85;10,00;01/08/2030;
8470004826531;482653;COSMOPOR E APOSITO 20X10 CM;1;9,59;9,59;11,43;11,43;10,00;01/01/2030;
8470004826128;482612;COSMOPOR E APOSITO 7.2X5 CM;2;1,75;3,50;4,12;2,06;10,00;01/10/2030;
8470001647665;164766;COSMOPOR WATERPROOF 10*8 5UNS;1;6,44;6,44;9,95;9,95;10,00;01/06/2030;
8470008407026;840702;COSOPT COLI 5 ML;1;8,27;8,27;12,11;12,11;4,00;31/03/2028;
8470007234449;723444;COSOPT PF 20+5 MGML 10ML;1;16,52;16,52;24,23;24,23;4,00;01/06/2027;
8470006815281;681528;COULDINA 20 COMP;1;10,19;10,19;14,94;14,94;4,00;01/05/2027;
8470007021513;702151;COULDINA CON PARACETAMOL 20COM;1;10,19;10,19;14,94;14,94;4,00;01/08/2028;
8470007151401;715140;COULDINA IBUPROFENO 20 COM;1;10,37;10,37;15,20;15,20;4,00;01/08/2028;
8470006893807;689380;COULDINA INSTANT 20 SOBR;2;9,74;19,48;29,88;14,94;4,00;01/09/2026;
8470001770059;177005;CREMA ADHESIVA FARLINE 40 G;1;3,50;3,50;5,95;5,95;10,00;01/05/2028;
8470006618721;661872;CRESTOR 10 MG 28 COMP;2;6,49;12,98;19,04;9,52;4,00;01/04/2028;
8470006618738;661873;CRESTOR 20 MG 28 COMP;1;13,92;13,92;19,05;19,05;4,00;01/02/2028;
8470007236818;723681;CRESTOR 20 MG 28 COMP DIF;1;12,11;12,11;19,05;19,05;4,00;01/06/2027;
8470006618585;661858;CRESTOR 5 MG 28 COMP;1;3,25;3,25;4,76;4,76;4,00;01/03/2028;
8470007873419;787341;CRISTALMINA SOL 25 ML;1;3,95;3,95;7,06;7,06;4,00;01/02/2028;
8470006612507;661250;CRISTALMINA SOL PULV CUT 25 ML;1;3,95;3,95;7,06;7,06;4,00;01/09/2028;
8470007383444;738344;CUATROCREM CR 30 G;1;8,57;8,57;12,89;12,89;4,00;01/09/2027;
8470003198899;319889;CUBRE ESCAYOLA PRIM BRAZO ENTERO GDE;1;6,89;6,89;11,95;11,95;21,00;01/05/2030;
8470003840323;384032;CUCHARA SUAVINEX INFANTIL 2 UN;2;3,05;6,10;7,90;3,95;21,00;01/12/2030;
8470001621221;162122;CUCHARA SUAVINEX SILICONA +4M;1;4,32;4,32;6,95;6,95;21,00;01/12/2030;
8470001501202;150120;CUMLAUDE CLX HIDRAT EXT 30 ML;1;9,16;9,16;13,95;13,95;21,00;01/09/2028;
8470001607065;160706;CUMLAUDE CLX OVULOS 10 UN;1;10,78;10,78;15,95;15,95;21,00;01/10/2029;
8470001667731;166773;CUMLAUDE DELIGYN 500ML;1;10,46;10,46;15,95;15,95;21,00;01/11/2028;
8470003055482;305548;CUMLAUDE DRENAQUA 30 CAPS;1;16,70;16,70;24,95;24,95;10,00;01/04/2027;
8470003188241;318824;CUMLAUDE GEL-CR HIDRAT INTERNO;1;10,36;10,36;15,95;15,95;21,00;01/10/2029;
8470001874160;187416;CUMLAUDE HIDRAT INTERN DELIG30;1;8,37;8,37;11,95;11,95;21,00;01/09/2030;
8470002010192;201019;CUMLAUDE HYDRA SPRAY 75 ML;1;10,64;10,64;15,95;15,95;21,00;01/05/2027;
CUM23902;CUM23902;CUMLAUDE LAB: DUPLO HIDRATANTE INTERNO 5 ML 12 UDS 2ª UD -25% DESCUENTO;1;16,92;16,92;25,95;25,95;21,00;01/02/2029;
CUMLA681;CUMLA681;CUMLAUDE LAB: PACK HIGIENE INTIMA DELIGYN 1 ENVASE 2x500 ml 2ª UD -40% DESCUENTO;3;15,38;46,14;71,85;23,95;21,00;01/03/2028;
CUMLA709;CUMLA709;CUMLAUDE LAB: PACK INTIMCARE RUTINA INTIMA MUCOSAS SENSIBLES;5;7,72;38,60;64,75;12,95;21,00;01/01/2027;
CUMLA028;CUMLA028;CUMLAUDE LAB: PACK INTIMCARE RUTINA INTIMA STOP MOLESTIAS;4;18,62;74,48;111,80;27,95;21,00;01/11/2027;
CUMLA004;CUMLA004;CUMLAUDE LAB: PACK INTIMCARE RUTINA SALUD SEXUAL;3;7,49;22,47;44,85;14,95;21,00;01/03/2029;
CUM05759;CUM05759;CUMLAUDE LAB: PACK RUTINA INTIMA HIDRATACION PLUS INTIMCARE x LUBRIPIU;3;22,21;66,63;98,85;32,95;21,00;01/04/2028;
CUM32702;CUM32702;CUMLAUDE LAB: PROMO DUPLO GYNELAUDE MUCUS 30 ML;10;13,48;134,80;199,50;19,95;21,00;01/03/2030;
8470001944412;194441;CUMLAUDE LUBRIPIU HIGI INT 200;5;9,25;46,25;74,75;14,95;21,00;01/01/2029;
8470001790866;179086;CUMLAUDE PREBIOTIC 3GR 10 OVUL;1;11,85;11,85;17,95;17,95;21,00;01/10/2028;
8470001830289;183028;CUMLAUDE PREBIOTIC MOUSSE 150;1;8,63;8,63;11,95;11,95;21,00;01/11/2026;
8470001814456;181445;CUMLAUDE RECTAL MD 30 ML;1;8,90;8,90;12,95;12,95;21,00;01/04/2027;
8470002033382;203338;CUMLAUDE SEROTOGYN NOCTA 30CAP;1;11,49;11,49;16,95;16,95;10,00;01/08/2027;
8470001832900;183290;CUMLAUDE VIDERAGE 30 ML;1;17,10;17,10;25,95;25,95;21,00;01/01/2028;
8470009738839;973883;CUSICROM FUERTE OFTALMICO 40 mg/ml COLIRIO EN SOLUCION 1 FRASCO 10 ml;1;2,11;2,11;3,09;3,09;4,00;01/12/2026;
8470009529376;952937;CUSIMOLOL 0.5 % COLI 5 ML;1;2,12;2,12;3,12;3,12;4,00;01/05/2028;
8470007168195;716819;CYCLOGEST 400 MG 15 OVULOS;3;11,37;34,11;50,01;16,67;4,00;01/02/2029;
8470005894096;589409;CYLANIC 250 62.5MG 10COMP;1;7,79;7,79;12,95;12,95;10,00;01/12/2027;
8470005894041;589404;CYLANIC 50 12.5MG 10CPD;1;4,23;4,23;7,95;7,95;10,00;01/06/2027;
8470005894140;589414;CYLANIC 500 125MG 10CPD;2;12,13;24,26;0,00;0,00;10,00;01/06/2027;
8470007623342;762334;DABIGATRAN CINFA 110MG 60CA;1;11,07;11,07;33,06;33,06;4,00;01/01/2027;
8470007623311;762331;DABIGATRAN CINFA 150MG 60CA;1;15,09;15,09;45,08;45,08;4,00;01/03/2027;
8470009952334;995233;DACORTIN 30 MG 30 COMP;1;2,56;2,56;3,76;3,76;4,00;01/04/2030;
8470007392842;739284;DACORTIN 5 MG 30 COMP;1;1,33;1,33;1,95;1,95;4,00;01/05/2027;
8470008162079;816207;DAFLON 500 MG 30 COMP;1;9,21;9,21;13,50;13,50;4,00;01/10/2028;
8470006553657;655365;DAFLON 500 MG 60 COMP;1;15,00;15,00;22,00;22,00;4,00;01/08/2028;
DAF0020;DAF002;DAFORTE GEL ORAL 20 ML;2;10,34;20,68;37,90;18,95;10,00;01/11/2026;
8470007637158;763715;DAITAL 60.4MG 30COM;1;20,56;20,56;30,07;30,07;4,00;01/10/2027;
8470007251972;725197;DAIVOBET 50500 MCG 80 GR;1;40,62;40,62;59,59;59,59;4,00;01/02/2028;
8470007489702;748970;DAIVOBET PDA 60 G;1;30,45;30,45;44,69;44,69;4,00;01/11/2027;
8470006541388;654138;DAKTARIN TOPICO 2% CR 40 G;1;2,23;2,23;3,25;3,25;4,00;01/08/2026;
8470006542781;654278;DALACIN 150 MG 24 CAP;1;2,25;2,25;3,29;3,29;4,00;01/05/2029;
8470006542866;654286;DALACIN 300 MG 24 CAP;1;4,70;4,70;6,57;6,57;4,00;01/07/2030;
8470007641117;764111;DALINGO 165MG 30 COMPRIMIDOS;1;11,82;11,82;17,33;17,33;4,00;01/12/2027;
8470007641124;764112;DALINGO 330MG 30 COMPRIMIDOS;1;23,63;23,63;34,66;34,66;4,00;01/10/2027;
8470007641131;764113;DALINGO 82.5MG 30 COMPRIMIDOS;1;5,91;5,91;8,66;8,66;4,00;01/08/2028;
8470007321859;732185;DALPARAN 10 MG 28 COMP;1;1,78;1,78;2,59;2,59;4,00;31/05/2027;
8470006607824;660782;DALSY 40 MGML SUSP ORAL 150ML;1;4,41;4,41;6,59;6,59;4,00;01/07/2028;
8470006661079;666107;DALSY SUSP 20MGML 150 ML;1;5,16;5,16;7,71;7,71;4,00;01/07/2028;
8470006798454;679845;DALSYDOL 400 MG 30 COMP;1;4,05;4,05;6,21;6,21;4,00;01/05/2027;
8470005019659;501965;DAMIRA 2000 400 G;6;28,33;169,98;197,22;32,87;10,00;01/03/2027;
8470006611722;661172;DAPAROX 33MGML GOT ORAL 20 ML;1;4,90;4,90;7,18;7,18;4,00;01/10/2028;
8470007404569;740456;DEANXIT 30 GRAG;1;4,75;4,75;8,73;8,73;4,00;01/04/2028;
8470009903251;990325;DECAPEPTYL 3.75 MG AMP;1;87,25;87,25;127,95;127,95;4,00;01/06/2028;
8470007451747;745174;DECAPEPTYL DIARIO 0.1 MG 7VIAL;1;16,29;16,29;23,88;23,88;4,00;01/06/2027;
8470009633301;963330;DECLOBAN PDA 15 G;1;0,94;0,94;1,37;1,37;4,00;01/05/2030;
8470009633486;963348;DECLOBAN PDA 30 G;1;1,79;1,79;2,61;2,61;4,00;01/09/2030;
8470003878371;387837;DEDIL ACOFAR 12 UNIDADES N-2;11;0,26;2,85;5,50;0,50;21,00;01/12/2028;
8470003878296;387829;DEDIL ACOFAR 12 UNIDADES N-3;19;0,26;4,93;9,50;0,50;21,00;01/12/2028;
8470003878036;387803;DEDIL ACOFAR 12 UNIDADES N-5;15;0,26;3,89;7,50;0,50;21,00;01/12/2028;
8470003877954;387795;DEDIL ACOFAR 12 UNIDADES N-6;9;0,26;2,33;4,50;0,50;21,00;01/12/2028;
8470003877879;387787;DEDIL ACOFAR 12 UNIDADES N-7;43;0,29;12,47;21,50;0,50;21,00;01/12/2028;
8470001563460;156346;DEDILES PROTECT SILICONA TL 2U;1;3,81;3,81;7,95;7,95;10,00;01/10/2030;
8470006795620;679562;DEFLAZACORT CINFA 30 MG 10 COM;1;1,43;1,43;2,67;2,67;4,00;01/11/2027;
8470006795613;679561;DEFLAZACORT CINFA 6 MG 20 COM;1;1,36;1,36;2,25;2,25;4,00;01/07/2027;
8470007012207;701220;DELTIUS 10000 UIML GOTAS 10ML;2;6,38;12,76;18,74;9,37;4,00;01/10/2028;
8470007266341;726634;DELTIUS 25000 UI 4 CAPSULAS;2;6,34;12,68;18,74;9,37;4,00;01/05/2027;
8470007012184;701218;DELTIUS 25000 UI SOL 4X2.5 ML;2;6,38;12,76;18,74;9,37;4,00;01/07/2029;
8470007012177;701217;DELTIUS 250002.5 UNIDOS 2.5ML;2;1,69;3,38;5,00;2,50;4,00;01/05/2029;
8470006977842;697784;DEMILOS 600MG 1000UI 30 CO BUC;2;6,11;12,22;18,02;9,01;4,00;01/06/2027;
8470007289791;728979;DEMILOS 600MG2000UI 30CO BUCO;2;12,27;24,54;36,02;18,01;4,00;01/07/2027;
8470009936006;993600;DENTISPRAY 5 ML;1;7,72;7,72;11,33;11,33;4,00;01/12/2027;
8470006500057;650005;DEPAKINE 500 MG 100 COMP;1;8,21;8,21;12,05;12,05;4,00;01/05/2028;
8470006711491;671149;DEPAKINE CRONO 500 MG 100 COMP;1;8,21;8,21;12,05;12,05;4,00;01/04/2028;
8470006710814;671081;DEPAKINE SOLU 40 ML;4;1,70;6,80;10,00;2,50;4,00;01/11/2027;
8470007023500;702350;DEPRAX EFG 100 MG 30 COMP;1;2,16;2,16;3,17;3,17;4,00;01/07/2030;
8470007023517;702351;DEPRAX EFG 100 MG 60 COMP;1;4,32;4,32;6,32;6,32;4,00;01/10/2030;
8470007069577;706957;DERATIN COMPLEX MENTA 30 COM;1;2,98;2,98;10,05;10,05;4,00;01/03/2027;
8470007069553;706955;DERATIN COMPLEX MIEL-LIM 30 CO;1;2,97;2,97;10,05;10,05;4,00;01/07/2027;
8470007917809;791780;DERCUTANE 10 MG 50 CAPS;1;11,65;11,65;17,09;17,09;4,00;01/12/2027;
8470007919629;791962;DERCUTANE 20 MG 50 CAPS;1;23,30;23,30;34,19;34,19;4,00;01/06/2028;
8470006608616;660861;DERCUTANE 5 MG 50 CAPS;1;5,83;5,83;8,55;8,55;4,00;01/02/2028;
8470003585989;358598;DERMAPLAST ACTIVE SPORT TAPE;1;5,74;5,74;8,95;8,95;10,00;01/01/2028;
8470001511553;151155;DERMATIX SILIC CLEAR 4X13 CM;1;7,48;7,48;14,95;14,95;21,00;01/10/2026;
8470008117376;811737;DERMOFIX CR 30 G;1;4,40;4,40;6,79;6,79;4,00;01/12/2026;
8470006515396;651539;DERMOFIX CR 60 G;2;8,42;16,84;24,70;12,35;4,00;01/03/2028;
8470008304714;830471;DERMOSA HIDROC 1 % PDA 30 G;1;2,26;2,26;3,31;3,31;4,00;01/12/2029;
8470008497607;849760;DERMOVAGISIL CREMA 20 GR;1;6,33;6,33;10,07;10,07;4,00;01/08/2028;
8470002097001;209700;DESENSIN FLUOR GEL 75 ML;1;4,32;4,32;6,95;6,95;21,00;01/01/2028;
