COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
H04AA,Hormonas glucogenolíticas,H04A,Hormonas glucogenolíticas,H04,Hormonas pancreáticas,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H05AA,Hormonas paratiroideas y análogos,H05A,Hormonas paratiroideas y análogos,H05,Homeostasis del calcio,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H05BA,Preparados de calcitonina,H05B,Agentes antiparatiroideos,H05,Homeostasis del calcio,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
H05BX,Otros agentes antiparatiroideos,H05B,Agentes antiparatiroideos,H05,Homeostasis del calcio,H,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
J01AA,Tetraciclinas,J01A,Tetraciclinas,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01BA,Anfenicoles,J01B,Anfenicoles,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01CA,Penicilinas de amplio espectro,J01C,"Antibacterianos betalactámicos, penicilinas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01CE,Penicilinas sensibles a betalactamasa,J01C,"Antibacterianos betalactámicos, penicilinas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01CF,Penicilinas resistentes a betalactamasa,J01C,"Antibacterianos betalactámicos, penicilinas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01CG,Inhibidores de la beta-lactamasa,J01C,"Antibacterianos betalactámicos, penicilinas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01CR,"Asociaciones de penicilinas, incl. inhibidores de la beta-lactamasa",J01C,"Antibacterianos betalactámicos, penicilinas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DB,Cefalosporinas de primera generación,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DC,Cefalosporinas de segunda generación,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DD,Cefalosporinas de tercera generación,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DE,Cefalosporinas de cuarta generación,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DF,Monobactámicos,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DH,Carbapenémicos,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01DI,Otras cefalosporinas y penemes,J01D,Otros antibacterianos betalactámicos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01EA,Trimetoprima y derivados,J01E,Sulfonamidas y trimetoprima,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01EB,Sulfonamidas de acción corta,J01E,Sulfonamidas y trimetoprima,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01EC,Sulfonamidas de acción intermedia,J01E,Sulfonamidas y trimetoprima,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01EE,"Asociaciones de sulfonamidas y trimetoprima, incl. derivados",J01E,Sulfonamidas y trimetoprima,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01FA,Macrólidos,J01F,"Macrólidos, lincosamidas y estreptograminas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01FF,Lincosamidas,J01F,"Macrólidos, lincosamidas y estreptograminas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01FG,Estreptograminas,J01F,"Macrólidos, lincosamidas y estreptograminas",J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01GA,Estreptomicinas,J01G,Aminoglucósidos antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01GB,Otros aminoglucósidos,J01G,Aminoglucósidos antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01MA,Fluoroquinolonas,J01M,Quinolonas antibacterianas,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01MB,Otras quinolonas,J01M,Quinolonas antibacterianas,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01RA,Asociaciones de antibacterianos,J01R,Asociaciones de antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XA,Glicopéptidos antibacterianos,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XB,Polimixinas,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XC,Esteroides antibacterianos,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XD,Derivados imidazólicos,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XE,Derivados de nitrofurano,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J01XX,Otros antibacterianos,J01X,Otros antibacterianos,J01,Antibacterianos para uso sistémico,J,Antiinfecciosos para uso sistémico
J02AA,Antibióticos,J02A,Antimicóticos de uso sistémico,J02,Antimicóticos de uso sistémico,J,Antiinfecciosos para uso sistémico
J02AB,Derivados del imidazol,J02A,Antimicóticos de uso sistémico,J02,Antimicóticos de uso sistémico,J,Antiinfecciosos para uso sistémico
J02AC,Derivados del triazol y del tetrazol,J02A,Antimicóticos de uso sistémico,J02,Antimicóticos de uso sistémico,J,Antiinfecciosos para uso sistémico
J02AX,Otros antimicóticos para uso sistémico,J02A,Antimicóticos de uso sistémico,J02,Antimicóticos de uso sistémico,J,Antiinfecciosos para uso sistémico
J04AA,Aminosalicílico ácido y derivados,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04AB,Antibióticos,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04AC,Hidrazidas,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04AD,Derivados de tiocarbamida,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04AK,Otros fármacos para el tratamiento de la tuberculosis,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04AM,Combinaciones de fármacos para el tratamiento de la tuberculosis,J04A,Fármacos para el tratamiento de la tuberculosis,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J04BA,Medicamentos para el tratamiento de la lepra,J04B,Medicamentos para el tratamiento de la lepra,J04,Antimicobacterias,J,Antiinfecciosos para uso sistémico
J05AB,Nucleósidos y nucleótidos excl. inhibidores de la transcriptasa inversa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AC,Aminas cíclicas,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AD,Derivados del ácido fosfónico,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AE,Inhibidores de la proteasa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AF,Nucleósidos y nucleótidos inhibidores de la transcriptasa inversa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AG,Inhibidores no nucleosídicos de la transcriptasa inversa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AH,Inhibidores de la neuraminidasa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AJ,Inhibidores de la integrasa,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AP,Antivirales para el tratamiento de las infecciones por el VHC,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AR,"Antivirales para el tratamiento de infecciones por VIH, combinaciones",J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J05AX,Otros antivirales,J05A,Antivirales de acción directa,J05,Antivirales de uso sistémico,J,Antiinfecciosos para uso sistémico
J06AA,Sueros inmunes,J06A,Sueros inmunes,J06,Sueros inmunes e inmunoglobulinas,J,Antiinfecciosos para uso sistémico
J06BA,Inmunoglobulinas humanas normales,J06B,Inmunoglobulinas,J06,Sueros inmunes e inmunoglobulinas,J,Antiinfecciosos para uso sistémico
J06BB,Inmunoglobulinas específicas,J06B,Inmunoglobulinas,J06,Sueros inmunes e inmunoglobulinas,J,Antiinfecciosos para uso sistémico
J06BC,Anticuerpos monoclonales antibacterianos,J06B,Inmunoglobulinas,J06,Sueros inmunes e inmunoglobulinas,J,Antiinfecciosos para uso sistémico
J06BD,Anticuerpos monoclonales antivirales,J06B,Inmunoglobulinas,J06,Sueros inmunes e inmunoglobulinas,J,Antiinfecciosos para uso sistémico
J07AE,Vacunas contra el cólera,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AG,Vacunas contra Haemophilus influenzae B,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AH,Vacunas antimeningococo,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AJ,Vacunas antipertussis,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AL,Vacunas antineumococo,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AM,Vacunas antitetánicas,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AN,Vacuna antituberculosa,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AP,Vacunas antitifoideas,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07AX,Otras vacunas antibacterianas,J07A,Vacunas antibacterianas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BA,Vacunas contra la encefalitis,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BB,Vacunas contra la gripe,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BC,Vacunas contra la hepatitis,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BD,Vacunas contra el sarampión,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BE,Vacunas contra la parotiditis,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BF,Vacunas contra la poliomielitis,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BG,Vacunas contra la rabia,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BH,Vacuna contra la diarrea por rotavirus,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BJ,Vacunas contra la rubéola,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BK,Vacunas anti varicela zóster,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BL,Vacunas contra la fiebre amarilla,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BM,Vacuna contra papilomavirus,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BN,Vacuna contra COVID-19,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BP,Vacunas contra el chikungunya,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07BX,Otras vacunas virales,J07B,Vacunas antivirales,J07,Vacunas,J,Antiinfecciosos para uso sistémico
J07CA,Vacunas antibacterianas y antivirales combinadas,J07C,Vacunas antibacterianas y antivirales combinadas,J07,Vacunas,J,Antiinfecciosos para uso sistémico
L01AA,Análogos de la mostaza nitrogenada,L01A,Agentes alquilantes,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01AB,Alquilsulfonatos,L01A,Agentes alquilantes,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01AC,Etileniminas,L01A,Agentes alquilantes,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01AD,Nitrosoureas,L01A,Agentes alquilantes,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01AX,Otros agentes alquilantes,L01A,Agentes alquilantes,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01BA,Análogos del ácido fólico,L01B,Antimetabolitos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01BB,Análogos de purinas,L01B,Antimetabolitos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01BC,Análogos de pirimidinas,L01B,Antimetabolitos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01CA,Alcaloides de la vinca y análogos,L01C,Alcaloides de plantas y otros productos naturales,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01CB,Derivados de podofilotoxina,L01C,Alcaloides de plantas y otros productos naturales,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01CD,Taxanos,L01C,Alcaloides de plantas y otros productos naturales,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01CE,Inhibidores de la topoisomerasa 1 (TOP1),L01C,Alcaloides de plantas y otros productos naturales,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01CX,Otros alcaloides de plantas y productos naturales,L01C,Alcaloides de plantas y otros productos naturales,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01DA,Actinomicinas,L01D,Antibióticos citotóxicos y sustancias relacionadas,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01DB,Antraciclinas y sustancias relacionadas,L01D,Antibióticos citotóxicos y sustancias relacionadas,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01DC,Otros antibióticos citotóxicos,L01D,Antibióticos citotóxicos y sustancias relacionadas,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EA,Inhibidores de la tirosina quinasa BCR-ABL,L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EB,Inhibidores de la tirosina quinasa del receptor del factor de crecimiento epidérmico (EGFR),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EC,Inhibidores de la serina-treonina quinasa BRAF,L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01ED,Inhibidores de la quinasa del linfoma anaplásico (ALK),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EE,Inhibidores de la proteína quinasa activada por mitógenos (MEK),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EF,Inhibidores de la quinasa dependiente de ciclina (CDK),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EG,Inhibidores de la diana de rapamicina en células de mamífero (mTOR),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EH,Inhibidores del receptor 2 de la tirosina quinasa del factor de crecimiento epidérmico humano (HER2),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EJ,Inhibidores de la Janus quinasa (JAK),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EK,Inhibidores del receptor de la tirosina quinasa del factor de crecimiento vascular endotelial (VEGF),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EL,Inhibidores de la tirosina quinasa de Bruton (BTK),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EM,Inhibidores de la fosfatidilinositol-3-quinasa (Pi3K),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EN,Inhibidores de la tirosina quinasa del receptor del factor de crecimiento de fibroblastos (FGFR),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EP,Inhibidores de la quinasa del factor de transición celular-mesenquimatoso-epitelial (c-met),L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01EX,Otros inhibidores de la proteinquinasa,L01E,Inhibidores de la proteinquinasa,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FA,Inhibidores de CD20 (grupos de diferenciación 20),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FB,Inhibidores de CD22 (grupos de diferenciación 22),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FC,Inhibidores de CD38 (grupos de diferenciación 38),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FD,Inhibidores del HER2 (receptor del factor de crecimiento epidérmico humano 2),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FE,Inhibidores del EGFR (receptor del factor de crecimiento epidérmico),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FF,Inhibidores de PD-1/PD-L1 (Proteína 1 de muerte celular programada/ligando 1 de muerte programada),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FG,Inhibidores del VEGF/VEGFR (factor de crecimiento endotelial vascular),L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FX,Otros anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01FY,Combinaciones de anticuerpos monoclonales y otros conjugados de anticuerpos,L01F,Anticuerpos monoclonales y conjugados anticuerpo-fármaco,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XA,Compuestos de platino,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XB,Metilhidrazinas,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XD,Sensibilizadores usados en terapia fotodinámica y radiación,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XF,Retinoides para el tratamiento del cáncer,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XG,Inhibidores del proteasoma,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XH,Inhibidores de la histona deacetilasa (HDAC),L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XJ,Inhibidores de la vía Hedgehog,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XK,Inhibidores de la poli-(ADP-ribosa)-polimerasa (PARP),L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XL,Terapia celular y genética antineoplásica,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XM,Inhibidores de la isocitrato deshidrogenasa (idh),L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XX,Otros agentes antineoplásicos,L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L01XY,"Agentes antineoplásicos, asociaciones",L01X,Otros agentes antineoplásicos,L01,Antineoplásicos,L,Antineoplásicos e inmunomoduladores
L02AA,Estrógenos,L02A,Hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02AB,Progestágenos,L02A,Hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02AE,Análogos de la hormona liberadora de gonadotrofinas,L02A,Hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02BA,Antiestrógenos,L02B,Antagonistas de hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02BB,Antiandrógenos,L02B,Antagonistas de hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02BG,Inhibidores de la aromatasa,L02B,Antagonistas de hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L02BX,Otros antagonistas hormonales y agentes relacionados,L02B,Antagonistas de hormonas y agentes relacionados,L02,Terapia endocrina,L,Antineoplásicos e inmunomoduladores
L03AA,Factores estimulantes de colonias,L03A,Inmunoestimulantes,L03,Inmunoestimulantes,L,Antineoplásicos e inmunomoduladores
L03AB,Interferones,L03A,Inmunoestimulantes,L03,Inmunoestimulantes,L,Antineoplásicos e inmunomoduladores
L03AC,Interleukinas,L03A,Inmunoestimulantes,L03,Inmunoestimulantes,L,Antineoplásicos e inmunomoduladores
L03AX,Otros inmunoestimulantes,L03A,Inmunoestimulantes,L03,Inmunoestimulantes,L,Antineoplásicos e inmunomoduladores
L04AA,Inmunosupresores selectivos,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AB,Inhibidores del factor de necrosis tumoral alfa,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AC,Inhibidores de la interleucina,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AD,Inhibidores de la calcineurina,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AE,Moduladores del receptor de la esfingosina-1-fosfato (s1p),L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AF,Inhibidores de la kinasa asociada a janus (jak),L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AG,Anticuerpos monoclonales,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AH,Inhibidores de la kinasa de la diana de la rapamicina en células de mamífero (mtor),L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AJ,Inhibidores complementarios,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AK,Inhibidores de la dihidroorato deshidrogenasa,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AL,Inhibidores del receptor neonatal del fragmento cristalizable (fcrn),L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
L04AX,Otros inmunosupresores,L04A,Inmunosupresores,L04,Inmunosupresores,L,Antineoplásicos e inmunomoduladores
M01AA,Butilpirazolidinas,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AB,Derivados del ácido acético y sustancias relacionadas,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AC,Oxicams,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AE,Derivados del ácido propiónico,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AG,Fenamatos,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AH,Coxibs,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01AX,Otros agentes antiinflamatorios y antirreumáticos no esteroideos,M01A,Antiinflamatorios y antirreumáticos no esteroideos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01BA,Antiinflamatorios y antirreumáticos en combinación con corticosteroides,M01B,Antiinflamatorios/antirreumáticos en combinación,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01BX,Otros antiinflamatorios/antirreumáticos en combinación con otros fármacos,M01B,Antiinflamatorios/antirreumáticos en combinación,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01CB,Preparados de oro,M01C,Antirreumáticos específicos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01CC,Penicilamina y agentes similares,M01C,Antirreumáticos específicos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M01CX,Otros agentes antirreumáticos específicos,M01C,Antirreumáticos específicos,M01,Antiinflamatorios y antirreumáticos,M,Sistema musculoesquelético
M02AA,Antiinflamatorios no esteroideos para uso tópico,M02A,Productos tópicos para dolor articular y muscular,M02,Productos tópicos para dolor articular y muscular,M,Sistema musculoesquelético
M02AB,Capsaicina y agentes similares,M02A,Productos tópicos para dolor articular y muscular,M02,Productos tópicos para dolor articular y muscular,M,Sistema musculoesquelético
M02AC,Preparados con derivados del ácido salicílico,M02A,Productos tópicos para dolor articular y muscular,M02,Productos tópicos para dolor articular y muscular,M,Sistema musculoesquelético
M02AX,Otros productos tópicos para dolor articular y muscular,M02A,Productos tópicos para dolor articular y muscular,M02,Productos tópicos para dolor articular y muscular,M,Sistema musculoesquelético
M03AB,Derivados de colina,M03A,Relajantes musculares de acción periférica,M03,Relajantes musculares,M,Sistema musculoesquelético
M03AC,Otros compuestos de amonio cuaternario,M03A,Relajantes musculares de acción periférica,M03,Relajantes musculares,M,Sistema musculoesquelético
M03AX,Otros relajantes musculares de acción periférica,M03A,Relajantes musculares de acción periférica,M03,Relajantes musculares,M,Sistema musculoesquelético
M04AA,Preparados inhibidores de la producción de ácido úrico,M04A,Preparados antigotosos,M04,Antigotosos,M,Sistema musculoesquelético
M04AB,Preparados incrementadores de la excreción de ácido úrico,M04A,Preparados antigotosos,M04,Antigotosos,M,Sistema musculoesquelético
M04AC,Preparados sin efecto sobre el metabolismo del ácido úrico,M04A,Preparados antigotosos,M04,Antigotosos,M,Sistema musculoesquelético
M05BA,Bifosfonatos,M05B,Agentes que afectan la estructura ósea y la mineralización,M05,Preparados para el tratamiento de enfermedades óseas,M,Sistema musculoesquelético
