COD_N4,N4_SUBG_QUIMICO_TERAP_FARMAT,COD_N3,N3_SUBG_TERAP_FARMAT,COD_N2,N2_SBG_TERAP_PPAL,COD_N1,N1_GRUPO_ANATOMICO
A10AE,Insulinas y análogos de acción prolongada para inyección,A10A,Insulinas y análogos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10AF,Insulinas y análogos para inhalación,A10A,Insulinas y análogos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BA,Biguanidas,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BB,Sulfonilureas,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BD,Combinaciones de fármacos hipoglucemiantes orales,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BF,Inhibidores de la alfa glucosidasa,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BG,Tiazolidinadionas,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BH,Inhibidores de la dipeptidil peptidasa 4 (DPP-4),A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BJ,Análogos de los receptores del péptido-1 similar al glucagón (GLP-1),A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BK,Inhibidores del cotransportador de sodio-glucosa tipo 2 (SGLT2),A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10BX,Otros fármacos hipoglucemiantes excluyendo insulinas,A10B,Fármacos hipoglucemiantes excluyendo insulinas,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10X M1,Centaurea aspera,A10X,Otros antidiabéticos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A10XA,Inhibidores de la aldosa reductasa,A10X,Otros antidiabéticos,A10,Antidiabéticos,A,Tracto alimentario y metabolismo
A11AA,Multivitaminas con minerales,A11A,"Multivitaminas, asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11AB,"Multivitaminas, otras asociaciones",A11A,"Multivitaminas, asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11BA,Multivitamínicos solos,A11B,Multivitamínicos solos,A11,Vitaminas,A,Tracto alimentario y metabolismo
A11CA,Vitamina A sola,A11C,"Vitaminas A y D, incl. asociaciones de ambas",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11CB,Vitamina A y D en asociación,A11C,"Vitaminas A y D, incl. asociaciones de ambas",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11CC,Vitamina D y análogos,A11C,"Vitaminas A y D, incl. asociaciones de ambas",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11DA,Vitamina B1 sola,A11D,"Vitamina B1, sola y en asociación con vitaminas B6 y B12",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11DB,Vitamina B1 en asociación con vitamina B6 y/o B12,A11D,"Vitamina B1, sola y en asociación con vitaminas B6 y B12",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11EA,Vitaminas del complejo B solas,A11E,"Vitaminas del complejo B, incl. asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11EB,Vitaminas del complejo B con vitamina C,A11E,"Vitaminas del complejo B, incl. asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11EX,"Vitaminas del complejo B, otras combinaciones",A11E,"Vitaminas del complejo B, incl. asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11GA,"Ascórbico ácido (vitamina C), monofármaco",A11G,"Ascórbico ácido (vitamina C), incl. asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11GB,"Ascórbico ácido (vitamina C), asociaciones",A11G,"Ascórbico ácido (vitamina C), incl. asociaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11HA,"Otros preparados de vitaminas, monofármacos",A11H,"Otros preparados de vitaminas, monofármacos",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11JA,Asociaciones de vitaminas,A11J,"Otros productos con vitaminas, combinaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11JB,Vitaminas con minerales,A11J,"Otros productos con vitaminas, combinaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A11JC,"Vitaminas, otras asociaciones",A11J,"Otros productos con vitaminas, combinaciones",A11,Vitaminas,A,Tracto alimentario y metabolismo
A12AA,Calcio,A12A,Calcio,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12AX,"Calcio, combinaciones con vitamina D y/o otros fármacos",A12A,Calcio,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12BA,Potasio,A12B,Potasio,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12C P1,Magnesio + otros minerales,A12C,Otros suplementos minerales,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12CB,Zinc,A12C,Otros suplementos minerales,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12CC,Magnesio,A12C,Otros suplementos minerales,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12CE,Selenio,A12C,Otros suplementos minerales,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A12CX,Productos con otros minerales,A12C,Otros suplementos minerales,A12,Suplementos minerales,A,Tracto alimentario y metabolismo
A14AA,Derivados del androstano,A14A,Esteroides anabólicos,A14,Agentes anabólicos para uso sistémico,A,Tracto alimentario y metabolismo
A14AB,Derivados del estreno,A14A,Esteroides anabólicos,A14,Agentes anabólicos para uso sistémico,A,Tracto alimentario y metabolismo
A16 P2,Ademetionina + vitamina B12,,,A16,Otros productos para el tracto alimentario y metabolismo,A,Tracto alimentario y metabolismo
A16A P1,Metionina + vitamina B1 + carnitina,A16A,Otros productos para el tracto alimentario y metabolismo,A16,Otros productos para el tracto alimentario y metabolismo,A,Tracto alimentario y metabolismo
A16AA,Aminoácidos y derivados,A16A,Otros productos para el tracto alimentario y metabolismo,A16,Otros productos para el tracto alimentario y metabolismo,A,Tracto alimentario y metabolismo
A16AB,Enzimas,A16A,Otros productos para el tracto alimentario y metabolismo,A16,Otros productos para el tracto alimentario y metabolismo,A,Tracto alimentario y metabolismo
A16AX,Productos varios para el tracto alimentario y metabolismo,A16A,Otros productos para el tracto alimentario y metabolismo,A16,Otros productos para el tracto alimentario y metabolismo,A,Tracto alimentario y metabolismo
B01AA,Antagonistas de vitamina K,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B01AB,Grupo de la heparina,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B01AC,Inhibidores de la agregación plaquetaria excl. heparina,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B01AD,Enzimas,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
B01AE,Inhibidores directos de trombina,B01A,Agentes antitrombóticos,B01,Agentes antitrombóticos,B,Sangre y órganos hematopoyéticos
