Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA;VENTAS_2024;VENTAS_2025;VENTAS_2026;VENTAS_TOTAL
936831;PROCTOLOG PDA RECTAL 15 G;MEDICAMENTO;C05A;Desma Laboratorio Farmaceutico S.L.;"";0;2;0;2
793604;LUMINAL 100 MG 50 COMP;MEDICAMENTO;N03A;Kern Pharma S.L.;"";0;1;1;2
875914;BETADINE 4% SOL JABONOSA 500ML;MEDICAMENTO;D08A;Cooper Consumer Health B.V.;"";0;2;0;2
765768;TODACITAN EFG 1.5 MG 100CO DIF;MEDICAMENTO;N07B;Aflofarm Farmacja Polska Sp. Z O.O.;"";0;0;2;2
766414;ASTRILAX FLAS 20 MG 20 COMP;MEDICAMENTO;R06A;Faes Farma S.A.;"";0;2;0;2
766417;ASTRILAX 20 MG 20 COMP;MEDICAMENTO;R06A;Faes Farma S.A.;"";0;2;0;2
777755;LARGACTIL 100 MG 30 COMP;MEDICAMENTO;N05A;Neuraxpharm Spain S.L.;"";0;2;0;2
831446;LAMISIL SPRAY 30 ML;MEDICAMENTO;D01A;Novartis Farmaceutica S.A.;"";0;1;1;2
765668;EUTIROX 63 MCG 100 COMPRIMIDOS;MEDICAMENTO;H03A;Merck S.L.;"";0;0;2;2
818971;RIVOTRIL GOT 10 ML;MEDICAMENTO;N03A;Cheplapharm Arzneimittel Gmbh;"";0;2;0;2
827873;SERTRALINA STADA 100 MG 30 CO;MEDICAMENTO;N06A;Laboratorio Stada S.L.;"";0;2;0;2
828277;SERTRALINA STADA 50 MG 30 CO;MEDICAMENTO;N06A;Laboratorio Stada S.L.;"";0;2;0;2
766669;ZARELIS RETARD 37.5 MG 30 COMP;MEDICAMENTO;N06A;Italfarmaco S.A.;"";0;0;2;2
988220;GASTRODENOL 120 MG 50 COMP;MEDICAMENTO;A02B;Tora Laboratories S.L.U.;"";0;2;0;2
939942;FLUIMUCIL 4% SOL ORAL 200ML I;MEDICAMENTO;R05C;Zambon S.A.U.;"";0;2;0;2
765337;FLUTICASONA TEVA 27.5MCG120;MEDICAMENTO;R01A;Teva B.V.;"";0;2;0;2
868166;XILONIBSA AEROSOL 10% 50 G;MEDICAMENTO;N01B;Laboratorios Inibsa S.A.;"";0;0;2;2
783415;MANIDON 80 MG 30 GRAG;MEDICAMENTO;C08D;Viatris Healthcare Limited;"";0;0;2;2
787945;SEVREDOL 10 MG 12 COMP;MEDICAMENTO;N02A;Mundipharma Pharmaceuticals S.L.;"";0;2;0;2
764556;ZANDRAQET 1.5MG 100 COMP;MEDICAMENTO;N07B;Adamed Laboratorios S.L.U.;"";0;1;0;1
767228;HEMODREN PDA RECTAL 15 G;MEDICAMENTO;C05A;Laboratorios Llorens S.L.;"";0;1;0;1
840645;SINGULAIR 4 MG 28 SOBR GRANUL;MEDICAMENTO;R03D;Organon Salud S.L.;"";0;0;1;1
783423;MANIDON 80 MG 60 GRAG;MEDICAMENTO;C08D;Viatris Healthcare Limited;"";0;1;0;1
786814;FAMOTIDINA ARISTO 40MG 14COM;MEDICAMENTO;A02B;Aristo Pharma Iberia S.L.;"";0;0;1;1
764876;NICORETTE SUPERMINT 2MG 40COMP;MEDICAMENTO;N07B;Jntl Consumer Health (Spain) S.L.;"";0;0;1;1
765083;ALCOTINA 20MG 30COM;MEDICAMENTO;C10A;Industria Quimica Y Farmaceutica Vir S.A.;"";0;0;1;1
764826;COMBIGAN DIFARMED 2 mg/ml + 5 mg/ml COLIRIO EN SOLUCION 1 FRASCO 5 ml;MEDICAMENTO;S01E;Abbvie;"";0;0;1;1
993006;FUROSEMIDA CINFA 40 MG 10 COMP;MEDICAMENTO;C03C;Laboratorios Cinfa S.A.;"";0;0;1;1
781591;ZITROMAX 250 MG 6 CAPS;MEDICAMENTO;J01F;Pfizer S.L.;"";0;0;1;1
889949;ZYPREXA VELOTAB 5MG 28COM;MEDICAMENTO;N05A;Cheplapharm Registration Gmbh;"";0;0;1;1
766272;INEGY DIFARMED 10 mg/20 mg 28 COMPRIMIDOS;MEDICAMENTO;C10B;Organon N.V.;"";0;0;1;1
765188;LYFNUA 45 MG 56 COMP;MEDICAMENTO;R05D;Merck Sharp & Dohme B.V.;"";0;1;0;1
764854;BYTEQI 0.5MG+1MG 53COM;MEDICAMENTO;N07B;Neuraxpharm Spain S.L.;"";0;0;1;1
971523;BETATUL 250 MG 10 SOBR;MEDICAMENTO;D09A;Cooper Consumer Health B.V.;"";0;1;0;1
866665;ACEITE RICINO ORRAVAN 25 ML;MEDICAMENTO;A06A;Laboratorio Reig Jofre, S.A.;"";0;1;0;1
764866;PHARMAGRIP CONG 60010MG 10SOB;MEDICAMENTO;N02B;Laboratorios Cinfa S.A.;"";0;0;1;1
765667;EUTIROX 38 MCG 100 COMPRIMIDOS;MEDICAMENTO;H03A;Merck S.L.;"";0;0;1;1
974352;SIBELIUM 5 MG 60 COMP;MEDICAMENTO;N07C;Esteve Pharmaceuticals S.A.;"";0;0;1;1
992412;LUBRILAX 30 ML;MEDICAMENTO;A06A;Laboratorios Normon S.A.;"";0;1;0;1
902205;LISINOPRIL STADA 5 MG 60 COM;MEDICAMENTO;C09A;Laboratorio Stada S.L.;"";0;1;0;1
866228;ACEOTO PLUS GOT 10 ML;MEDICAMENTO;S02C;Zambon S.A.U.;"";0;1;0;1
843102;YODUK 200 MCG 50 COMP;MEDICAMENTO;H03C;Casen Recordati S.L.;"";0;1;0;1
780536;LINITUL PDA 30 G;MEDICAMENTO;D03A;Alfasigma Espana S.L.;"";0;1;0;1
765592;ACIDO FOLICO ARISTO 5MG 84COM;MEDICAMENTO;B03B;Aristo Pharma Gmbh;"";0;1;0;1
764987;VOLTADUO 20 COMP;MEDICAMENTO;N02B;Haleon Spain S.A.;"";0;1;0;1
811844;PSICOCEN 50MG CAP;MEDICAMENTO;N05A;Especialidades Farmaceuticas Centrum S.A.;"";0;1;0;1
999999;AMBROXOL RATIOPHARM EFG 3 mg/ml JARABE 1 FRASCO 200 ml;MEDICAMENTO;R05C;Ratiopharm Espana S.A.;"";0;1;0;1
862623;AMLODIPINO KERN 5 MG 30 COMP;MEDICAMENTO;C08C;Kern Pharma S.L.;"";0;1;0;1
764979;AMLODIPINO VIR 10MG 28COM;MEDICAMENTO;C08C;Industria Quimica Y Farmaceutica Vir S.A.;"";0;1;0;1
803031;CANESMYCOSPOR ONICOSET 10 mg/g + 400 mg/g POMADA 1 TUBO 10 g;MEDICAMENTO;D01A;Bayer Hispania S.L.;"";0;1;0;1
891168;TRANSTEC 35 MCG 5 PARCHES;MEDICAMENTO;N02A;Grünenthal Pharma S.A.;"";0;1;0;1
767412;RXULTI 0.5MG 28 COM;MEDICAMENTO;N05A;Otsuka Pharmaceutical Netherlands B.V.;"";0;1;0;1
874776;TANAKENE SOLU 50 ML;MEDICAMENTO;N06D;Faes Farma S.A.;"";0;1;0;1
926519;ANAGASTRA 40 MG 28 COMP;MEDICAMENTO;A02B;Takeda Gmbh;"";0;1;0;1
831131;SYNALAR OTICO GOT 10 ML;MEDICAMENTO;S02C;Tora Laboratories S.L.U.;"";0;1;0;1
997247;SUNIDERMA CR 60 G;MEDICAMENTO;D07A;Laboratoires Bailleul S.A.;"";0;1;0;1
779280;CELECREM 1MGG CR 60 G;MEDICAMENTO;D07A;Galenicum Derma S.L.U.;"";0;1;0;1
932822;PREVENCOR 10 MG 28 COMP;MEDICAMENTO;C10A;Viatris Healthcare Limited;"";0;1;0;1
827600;STUGERON 75 MG 30 CAPS;MEDICAMENTO;N07C;Esteve Pharmaceuticals S.A.;"";0;1;0;1
971879;STREPSILS VITAMINA C 24 PAST;MEDICAMENTO;R02A;Reckitt Benckiser Healthcare S.A.;"";0;1;0;1
809277;PRANZO SOLU 200 ML;MEDICAMENTO;A15Z;Laboratorios Vinas S.A.;"";0;1;0;1
978536;KETOISDIN 5 OVULOS;MEDICAMENTO;G01A;Isdin S.A.;"";0;1;0;1
980110;ANEXATE 0.5 MG 5X5 ML (H);MEDICAMENTO;V03A;Cheplapharm Arzneimittel Gmbh;"";0;1;0;1
985911;SINTONAL 20 COMP;MEDICAMENTO;N05C;Boehringer Ingelheim Espana S.A.;"";0;1;0;1
881078;PANTOK 10 MG 28 COMP;MEDICAMENTO;C10A;Lacer S.A.;"";0;1;0;1
964312;QUOCIN 120 mg/ml + 60 mg/ml COLODION 1 FRASCO 20 ml;MEDICAMENTO;D11A;Isdin S.A.;"";0;1;0;1
766413;ASTRILAX FLAS 20 MG 10 COMP;MEDICAMENTO;R06A;Faes Farma S.A.;"";0;1;0;1
859991;APOCARD 100 MG 30 COMP;MEDICAMENTO;C01B;Viatris Healthcare Limited;"";0;1;0;1
858936;MOTIVAN 20 MG 56 COMP;MEDICAMENTO;N06A;Glaxosmithkline S.A.;"";0;1;0;1
974337;DOXIUM FTE 500 MG 60 CAPS;MEDICAMENTO;C05B;Esteve Pharmaceuticals S.A.;"";0;1;0;1
764821;MOUNJARO KWIKPEN 7.5MGDO2.4ML;MEDICAMENTO;A10B;Eli Lilly Nederland B.V.;"";0;1;0;1
802033;AREMIS 50 MG 30 COMP;MEDICAMENTO;N06A;Esteve Pharmaceuticals S.A.;"";0;1;0;1
961805;ANTIDOL 500 MG 20 COMP;MEDICAMENTO;N02B;Laboratorios Cinfa S.A.;"";0;1;0;1
901249;DOLO VOLTAREN 46.5 MG 20 COMP;MEDICAMENTO;M01A;Novartis Farmaceutica S.A.;"";0;1;0;1
805762;DIPRODERM 0.05% SOLU 60 ML;MEDICAMENTO;D07A;Organon Salud S.L.;"";0;1;0;1
766455;DICLOKERN FORTE GEL23.2MGG150;MEDICAMENTO;M02A;Kern Pharma S.L.;"";0;1;0;1
795070;NIQUITIN CLEAR 21 MG 14 PARCHE;MEDICAMENTO;N07B;Perrigo Espana S.A.;"";0;1;0;1
971408;EULITOP RETARD 400 MG 30 COMP;MEDICAMENTO;C10A;Aurovitas Spain, S.A.U.;"";0;1;0;1
769737;HIRUDOID GEL 40G;MEDICAMENTO;C05B;Laboratorio Stada S.L.;"";0;1;0;1
911610;INALADUO 25250 INHALAD 120 DO;MEDICAMENTO;R03A;Glaxosmithkline S.A.;"";0;1;0;1
766517;COLECALCIFEROL NORMO25.000UI 4;MEDICAMENTO;A11C;Laboratorios Normon S.A.;"";0;1;0;1
779165;INISTON ANTITUSIVO NF 200 ML;MEDICAMENTO;R05D;Jntl Consumer Health (Spain) S.L.;"";0;1;0;1
004147;ENVASE ORIN VAC SN TUB APOSAN 1U;PARAFARMACIA;"";"";"";361;302;15;678
028447;SUERO FISIO APOSAN BOTIQ 30U;PARAFARMACIA;"";"";"";65;17;2;84
032167;SUERO FISIO APOSAN BOTIQ 50U;PARAFARMACIA;"";"";"";43;24;5;72
015894;STERICAN 30GX12 0.30X12 100U;PARAFARMACIA;"";"";"";47;24;0;71
226E0067;226ERS ENDURANCE BAR CHOCO BITS & FRESA 60GR;PARAFARMACIA;"";"";"";0;32;4;36
026761;APOSAN BOTIQ SUERO FISIOL 10U;PARAFARMACIA;"";"";"";6;23;5;34
009781;AGUJAS STERICAN 30G 0.30X12MM;PARAFARMACIA;"";"";"";30;0;0;30
226E0302;226ERS SUB9 SALTS ELECTROLYTES DUPLO;PARAFARMACIA;"";"";"";9;20;1;30
226E0012;226ERS ENDURANCE BAR BCAAs - MANZANA & CANELA;PARAFARMACIA;"";"";"";0;21;3;24
001395;LACER FLUOR PASTA DUPLO 2X125;PARAFARMACIA;"";"";"";8;12;3;23
032584;AGUJA 0,3X13 30G 1/2 1UD;PARAFARMACIA;"";"";"";15;5;0;20
003194;TAPONES OIDO CERA TAPS 12UN;PARAFARMACIA;"";"";"";4;14;1;19
SO´┐¢O2534;SO´┐¢ODINA ADVANCE 90 + 30 COMP;PARAFARMACIA;"";"";"";4;13;1;18
009184;FARLINE PACK AGUA MICELAR;PARAFARMACIA;"";"";"";9;6;3;18
226E0036;226ERS ENDURANCE BAR CHOCOLATE NEGRO 60GR;PARAFARMACIA;"";"";"";0;18;0;18
013891;XMILE PLUS GEL DENTIFRICO;PARAFARMACIA;"";"";"";11;3;3;17
028365;TRAUMEEL S HEEL POMADA 50 G;PARAFARMACIA;"";"";"";6;8;2;16
045666;CIGARRO MENTOL FLOWERS 3P 1U;PARAFARMACIA;"";"";"";4;10;0;14
226E0227;226ERS ENERGY GEL BIO 25G LIMON CAFEINA 25MG;PARAFARMACIA;"";"";"";11;1;0;12
226E0082;226ERS PROTEINA ISOLATED CHOCOLATE 1 KG;PARAFARMACIA;"";"";"";4;6;0;10
007772;DUPLO FARLINE CR MAN REPARADOR;PARAFARMACIA;"";"";"";2;5;1;8
226E0083;226ERS PROTEINA ISOLATED VAINILLA 1 KG;PARAFARMACIA;"";"";"";7;1;0;8
029735;GAFA FARLINE AMATISTA 2.5;PARAFARMACIA;"";"";"";6;2;0;8
035509;GAFA FARLINE URBI´┐¢N 3;PARAFARMACIA;"";"";"";7;1;0;8
008406;GAFA FARLINE OPT MILAN AZ 2;PARAFARMACIA;"";"";"";6;1;1;8
007902;DUPLO FARLINE CR ADHESIV 2X40G;PARAFARMACIA;"";"";"";2;4;1;7
002142;GAFA FARLINE OPTA MALTA 3;PARAFARMACIA;"";"";"";6;1;0;7
068288;VENDAJE CIRCUL FINGER BANDAGE;PARAFARMACIA;"";"";"";1;1;4;6
007077;FARLINE CORTAU´┐¢AS PEDICURA;PARAFARMACIA;"";"";"";2;3;1;6
029745;GAFA FARLINE AMBAR 3;PARAFARMACIA;"";"";"";2;4;0;6
007072;FARLINE TIJERAS U´┐¢AS PROFES;PARAFARMACIA;"";"";"";2;2;2;6
009565;GAFA FARLINE PALERMO NG 2.5;PARAFARMACIA;"";"";"";2;4;0;6
029791;GAFA FARLINE JASPE 3;PARAFARMACIA;"";"";"";3;1;1;5
011881;GAFA NANTES FARLINE DP 2.5;PARAFARMACIA;"";"";"";3;0;2;5
009561;GAFA FARLINE PALERMO NG 1;PARAFARMACIA;"";"";"";4;1;0;5
009564;GAFA FARLINE PALERMO NG 2;PARAFARMACIA;"";"";"";3;2;0;5
026767;FARLINE HOMBRE NEC BASIC DIA;PARAFARMACIA;"";"";"";4;0;0;4
003335;AGUA AZAHAR TENA 500 ML;PARAFARMACIA;"";"";"";2;2;0;4
030268;PROENTERIC ADVANCED PERRO 30ML;PARAFARMACIA;"";"";"";3;1;0;4
028308;TRAUMEEL S HEEL 50 COMP;PARAFARMACIA;"";"";"";1;3;0;4
008404;GAFA FARLINE OPT MILAN AZ 1;PARAFARMACIA;"";"";"";2;2;0;4
008405;GAFA FARLINE OPT MILAN AZ 1.5;PARAFARMACIA;"";"";"";1;2;1;4
007076;FARLINE CORTAU´┐¢AS MANICURA;PARAFARMACIA;"";"";"";1;2;1;4
009562;GAFA FARLINE PALERMO NG 1.5;PARAFARMACIA;"";"";"";1;3;0;4
029734;GAFA FARLINE AMATISTA 2;PARAFARMACIA;"";"";"";3;1;0;4
032846;GAFA FARLINE CRATOS 2.5;PARAFARMACIA;"";"";"";2;1;0;3
026772;FARLINE MASCARILLA NUTRI 100ML;PARAFARMACIA;"";"";"";1;2;0;3
078261;ZUECO HANKSHOES MICROMAS BL 43;PARAFARMACIA;"";"";"";1;2;0;3
030565;FARLINE GAFA SOL INF LEO;PARAFARMACIA;"";"";"";2;1;0;3
029172;VITAMINA K2 + D3 15ML;PARAFARMACIA;"";"";"";0;3;0;3
067256;VETRIDERM SOL TOPICA 350ML;PARAFARMACIA;"";"";"";0;3;0;3
029782;GAFA FARLINE CIRCON 2.5;PARAFARMACIA;"";"";"";2;1;0;3
033490;APOSAN CALENTITOS PERRO;PARAFARMACIA;"";"";"";3;0;0;3
029811;GAFA FARLINE TOPACIO 1.5;PARAFARMACIA;"";"";"";1;2;0;3
032848;GAFA FARLINE CRATOS 3;PARAFARMACIA;"";"";"";1;2;0;3
023680;ERGYVITAL HOMBRE 60 CAPSULAS NUTERGIA;PARAFARMACIA;"";"";"";3;0;0;3
029789;GAFA FARLINE JASPE 2;PARAFARMACIA;"";"";"";0;2;1;3
032459;FARLINE CORDON GAFA TELA AZ;PARAFARMACIA;"";"";"";0;2;0;2
002138;GAFA FARLINE OPTA MALTA 1.5;PARAFARMACIA;"";"";"";2;0;0;2
030605;FARLINE CHAMPU FORTIFIC 100ML;PARAFARMACIA;"";"";"";1;1;0;2
028463;FARLINE GAFA SOL CIBELES;PARAFARMACIA;"";"";"";2;0;0;2
007080;FARLINE PIEDRA QUITADUREZAS BL;PARAFARMACIA;"";"";"";2;0;0;2
