Codigo_Nacional;Codigo;Nombre;Total Ventas;ventas1;ventas2;ventas3;ventas4;ventas5;ventas6;ventas7;ventas8;ventas9;ventas10;ventas11;ventas12;"";Año;Total_Ventas;Nombre_Nomenclator;Laboratorio;Principio_Activo;Estado;PVP_Referencia;Unidades_Vendidas;Ingresos_Estimados_PVP;Q1_Ventas;Q2_Ventas;Q3_Ventas;Q4_Ventas
226E1101;226E1101;226ERS RECOVERY DRINK CHOCOLATE MONODOSIS 50GR;10;0;0;1;1;0;0;0;1;4;2;1;0;;2024;10;;;;;;10;;1;1;5;3
226E2665;226E2665;226ERS RECOVERY DRINK VAINILLA 1000GR;1;0;0;0;0;0;0;0;0;0;1;0;0;;2024;1;;;;;;1;;0;0;0;1
226E0382;226E0382;226ERS SOLO COFFEE - SPECIALITY COLOMBIA MOLIDO 1000g;1;0;1;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
226E0999;226E0999;226ERS SUB9 SALTS ELECTROLYTES BOTE 100UDS;2;0;0;0;1;0;1;0;0;0;0;0;0;;2024;2;;;;;;2;;0;2;0;0
226E0302;226E0302;226ERS SUB9 SALTS ELECTROLYTES DUPLO;9;0;0;1;0;3;0;0;2;0;1;2;0;;2024;9;;;;;;9;;1;3;2;3
226E1194;226E1194;226ERS SUB9 SALTS PRO ELECTROLYTES DUPLO;7;0;1;0;0;0;0;0;3;0;1;2;0;;2024;7;;;;;;7;;1;0;3;3
226E1206;226E1206;226ERS VEGAN BETA ALANINA 90 CAPSULAS;2;0;0;0;0;0;1;1;0;0;0;0;0;;2024;2;;;;;;2;;0;1;1;0
226E2217;226E2217;226ERS VEGAN GUMMIE BAR 30GR PECTINA 125mg SODIO FRESA;30;3;4;2;4;1;4;1;1;0;5;3;2;;2024;30;;;;;;30;;9;9;2;10
226E2215;226E2215;226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS LIMA;18;0;0;0;0;0;4;1;2;0;8;1;2;;2024;18;;;;;;18;;0;4;3;11
226E2214;226E2214;226ERS VEGAN GUMMIE BAR 30GR PECTINA BBCAS MANGO;37;2;1;1;1;0;0;26;1;0;2;1;2;;2024;37;;;;;;37;;4;1;27;5
226E2221;226E2221;226ERS VEGAN GUMMIE BAR 30GR PECTINA CAFEINA CHERRY COLA;41;0;3;1;5;0;3;5;3;3;15;3;0;;2024;41;;;;;;41;;4;8;11;18
226E2627;226E2627;226ERS VEGAN VITAMIN + 60CAPS;1;0;0;0;0;0;0;1;0;0;0;0;0;;2024;1;;;;;;1;;0;0;1;0
686580;8470006865804;A A S 100 MG 30 COM;23;2;2;3;2;1;5;2;1;1;1;0;3;;2024;23;A.A.S. 100 mg COMPRIMIDOS , 30 comprimidos;STADA, S.L;ACETILSALICILICO ACIDO;ALTA;;23;;7;8;4;4
700693;8470007006930;AAS 500 MG 20 COMPRIMIDOS;9;1;1;2;2;1;1;0;0;1;0;0;0;;2024;9;A.A.S. 500 mg COMPRIMIDOS , 20 comprimidos;STADA, S.L;ACETILSALICILICO ACIDO;ALTA;;9;;4;4;1;0
ABE02816;ABE02816;ABE�ULA BL PQ;2;0;0;0;0;0;0;0;0;0;0;1;1;;2024;2;;;;;;2;;0;0;0;2
651608;8470006516089;ABILIFY 10 MG 28 COMP DISP;5;0;0;0;0;0;0;0;0;1;1;1;2;;2024;5;ABILIFY 10MG 28 COMPRIMIDOS BUCODISPERSABLES;OTSUKA PHARMACEUTICAL, S.A.;ARIPIPRAZOL;ALTA;;5;;0;0;1;4
728220;8470007282204;ABILIFY 15 MG 28 COMP;12;1;2;1;2;2;1;0;0;3;0;0;0;;2024;12;ABILIFY 15MG 28 COMPRIMIDOS;OTSUKA PHARMACEUTICAL, S.A.;ARIPIPRAZOL;ALTA;;12;;4;5;3;0
652738;8470006527382;ABILIFY 1MGML S OR 150ML;19;0;1;2;1;0;1;6;1;2;2;2;1;;2024;19;ABILIFY 1MG/ML 150ML SOLUCION ORAL;OTSUKA PHARMACEUTICAL, S.A.;ARIPIPRAZOL;ALTA;;19;;3;2;9;5
728154;8470007281542;ABILIFY 5 MG 28 COMP;18;1;1;1;1;1;3;2;1;1;2;2;2;;2024;18;ABILIFY 5MG 28 COMPRIMIDOS;OTSUKA PHARMACEUTICAL, S.A.;ARIPIPRAZOL;ALTA;;18;;3;5;4;6
701736;8470007017363;ABILIFY MAINTENA400MG 1VI+1DIS;4;1;1;0;1;0;0;1;0;0;0;0;0;;2024;4;ABILIFY MAINTENA 400 mg polvo y disolvente para suspension de liberacion prolongada 1 vial + 1 vial de disolvente;OTSUKA PHARMACEUTICAL, S.A.;ARIPIPRAZOL;ALTA;;4;;2;1;1;0
738376;8470007383765;ABRILIA 20MG 7COM;7;0;0;1;1;1;1;0;1;0;1;0;1;;2024;7;;;;;;7;;1;3;1;2
478487;8470004784879;ABS PANTS DIA MEDIANO 80UI;15;2;1;1;1;2;3;1;1;1;0;1;1;;2024;15;ABS PANTS T. MEDIANA 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;15;;4;6;3;2
476267;8470004762679;ABS PANTS NOCHE GRANDE 80UI;2;0;1;0;0;1;0;0;0;0;0;0;0;;2024;2;ABS PANTS T. GRANDE  80 U;BARNA IMPORT MEDICA, S.A.;;ALTA;;2;;1;1;0;0
469452;8470004694529;ABS PANTS NOCHE MEDIANO 80UI;5;2;0;1;0;1;1;0;0;0;0;0;0;;2024;5;ABS PANTS T. MEDIANA 80 U;BARNA IMPORT MEDICA, S.A.;;ALTA;;5;;3;2;0;0
483404;8470004834048;ABS PANTS NUDE DIA GRD 80 UI;13;0;3;2;0;2;4;1;1;0;0;0;0;;2024;13;ABS NUDE PANTS T. GRANDE 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;13;;5;6;2;0
484899;8470004848991;ABS PANTS NUDE DIA MED 80 UI;5;1;0;0;0;0;0;0;4;0;0;0;0;;2024;5;ABS NUDE PANTS T. MEDIANA 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;5;;1;0;4;0
484972;8470004849721;ABS PANTS NUDE NOCH GRD 80 UI;1;0;0;0;0;0;0;0;1;0;0;0;0;;2024;1;ABS NUDE PANTS T. GRANDE 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;1;;0;0;1;0
485029;8470004850291;ABS PANTS NUDE SNOCH GRD 80 UI;4;1;1;1;0;0;1;0;0;0;0;0;0;;2024;4;ABS NUDE PANTS T. GRANDE 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;4;;3;1;0;0
485011;8470004850116;ABS PANTS NUDE SNOCH MED 80 UI;5;1;0;0;1;0;0;1;1;1;0;0;0;;2024;5;ABS NUDE PANTS T. MEDIANA 80U;BARNA IMPORT MEDICA, S.A.;;ALTA;;5;;1;1;3;0
469460;8470004694604;ABS PANTS SNOCHE GRANDE 80UI;1;0;0;1;0;0;0;0;0;0;0;0;0;;2024;1;ABS PANTS T. GRANDE 80 U;BARNA IMPORT MEDICA, S.A.;;ALTA;;1;;1;0;0;0
476507;8470004765076;ABSORBENTE INCONTINENCIA ORINA DIA ANATOMICO ID EXPERT FORM 80 UNIDADES;4;0;0;0;0;0;0;1;0;1;1;0;1;;2024;4;ID EXPERT FORM 80 U;ONTEX ID, S.A.;;ALTA;;4;;0;0;2;2
710266;8470007102663;AC ACETIL ARISTO 100MG 100COM;8;1;0;0;2;0;0;1;1;0;1;2;0;;2024;8;ACIDO ACETILSALICILICO ARISTO 100 MG COMPRIMIDOS GASTRORRESISTENTES , 100 comprimidos;ARISTO PHARMA IBERIA, S.L.;ACETILSALICILICO ACIDO;ALTA;;8;;1;2;2;3
662982;8470006629826;AC ALENDRONICO CINFAMED70MG4CO;25;2;1;1;2;2;2;2;2;2;3;3;3;;2024;25;ACIDO ALENDRONICO SEMANAL CINFAMED 70 mg comprimidos , 4 comprimidos;CINFA S.A.;ALENDRONATO SODIO TRIHIDRATO;ALTA;;25;;4;6;6;9
661007;8470006610077;AC ALENDRONICO NORMON 70MG 4CO;30;3;3;3;3;1;1;2;4;3;4;1;2;;2024;30;ACIDO ALENDRONICO SEMANAL NORMON 70 mg Comprimidos ,4 comprimidos;NORMON S.A.;ALENDRONATO SODIO TRIHIDRATO;ALTA;;30;;9;5;9;7
683525;8470006835258;AC IBANDRONICO NORMON 150MG 1C;10;2;1;1;1;0;0;1;1;1;1;1;0;;2024;10;ACIDO IBANDRONICO NORMON 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA , 1 comprimido;NORMON S.A.;IBANDRONICO ACIDO;ALTA;;10;;4;1;3;2
710437;8470007104377;AC TRANEXAMICO TILLOMED500MG30;6;1;0;1;0;0;0;0;2;2;0;0;0;;2024;6;ACIDO TRANEXAMICO ZENTIVA 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG. 30 comprimidos;ZENTIVA SPAIN, S.L.U;TRANEXAMICO ACIDO;ALTA;;6;;2;0;4;0
700725;8470007007258;ACALKA 1080 MG 100 COM;8;1;1;1;1;1;1;1;0;0;1;0;0;;2024;8;ACALKA 1080 mg COMPRIMIDOS DE LIBERACION PROLONGADA , 100 comprimidos;FERRER INTERNACIONAL S.A.;CITRATO POTASIO;ALTA;;8;;3;3;1;1
200599;8470002005990;ACCU-CHEK AVIVA 50 TIRAS;1;1;0;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
663361;8470006633618;ACEDIUR 30 COMP;87;5;8;10;6;7;8;9;6;9;9;7;3;;2024;87;ACEDIUR , 30 comprimidos;ALFASIGMA ESPAÑA, S.L.;ENALAPRIL MALEATO,HIDROCLOROTIAZIDA;ALTA;;87;;23;21;24;19
102440;8470001024404;ACEIT ESEN MILENRAMA 5ML;1;0;0;0;1;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
151960;8470001519603;ACEITE ALMEN DULC LOLES F 250M;1;0;0;1;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
003546;8470000035463;ACEITE HIG BACA PERLA500MG120C;1;0;0;0;0;0;1;0;0;0;0;0;0;;2024;1;;;;;;1;;0;1;0;0
174016;8470001740168;ACEITE HIPOCALORICO ORDESA 1 ENVASE 500 ml;1;0;0;0;0;0;0;0;0;0;0;1;0;;2024;1;;;;;;1;;0;0;0;1
650427;8470006504277;ACETILCISTEINA CINF 200M 30S I;13;1;0;1;0;0;0;0;1;2;1;3;4;;2024;13;;;;;;13;;2;0;3;8
654312;8470006543122;ACETILCISTEINA CINF 600M 20C I;60;5;5;6;4;4;3;2;6;4;6;4;11;;2024;60;;;;;;60;;16;11;12;21
650426;8470006504260;ACETILCISTEINA CINF 600M 20S I;11;2;1;4;0;0;2;1;0;1;0;0;0;;2024;11;;;;;;11;;7;2;2;0
656303;8470006563038;ACETILCISTEINA PENS 200M 30C I;1;0;0;1;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
939579;8470009395797;ACFOL 5 MG 28 COMP;124;15;11;16;14;7;6;4;8;15;10;9;9;;2024;124;ACFOL 5MG 28 COMPRIMIDOS;ITALFARMACO S.A.;FOLICO ACIDO;ALTA;;124;;42;27;27;28
728804;8470007288046;ACICLOVIR BRILL PHARMA 30MGG;1;0;0;1;0;0;0;0;0;0;0;0;0;;2024;1;ACICLOVIR BRILL PHARMA 30 MG/G POMADA OFTALMICA, 1 tubo de 4,5 g;BRILL PHARMA, S.L.;ACICLOVIR;ALTA;;1;;1;0;0;0
729053;8470007290537;ACICLOVIR NORMON 200MG 25COM;3;0;0;0;0;0;0;0;0;0;0;1;2;;2024;3;ACICLOVIR NORMON 200 mg comprimidos , 25 comprimidos;NORMON S.A.;ACICLOVIR;ALTA;;3;;0;0;0;3
729103;8470007291039;ACICLOVIR NORMON 50 MG CR 15 G;7;0;0;0;1;0;1;0;1;1;2;1;0;;2024;7;;;;;;7;;0;2;2;3
658914;8470006589144;ACICLOVIR NORMON 50MG CR 2 G;46;1;4;2;3;3;4;4;6;7;2;3;7;;2024;46;;;;;;46;;7;10;17;12
729095;8470007290957;ACICLOVIR NORMON 800 MG 35COM;10;0;0;2;1;0;0;0;1;1;2;3;0;;2024;10;ACICLOVIR NORMON 800 mg comprimidos , 35 comprimidos;NORMON S.A.;ACICLOVIR;ALTA;;10;;2;1;2;5
705669;8470007056690;ACICLOVIR STADA 800MG 35COMP;9;0;0;0;1;0;0;2;2;4;0;0;0;;2024;9;ACICLOVIR STADA 800 MG COMPRIMIDOS EFG , 35 comprimidos;STADA, S.L;ACICLOVIR;ALTA;;9;;0;1;8;0
700505;8470007005056;ACIDO FOLICO ASPOL 10MG 50CAP;1;0;0;0;0;0;0;0;0;0;0;0;1;;2024;1;ACIDO FOLICO ASPOL 10 mg, 50 capsulas;INTERPHARMA S.A.;FOLICO ACIDO;ALTA;;1;;0;0;0;1
180647;8470001806475;ACNIBEN BODY 150 ML;1;0;0;0;0;0;0;1;0;0;0;0;0;;2024;1;;;;;;1;;0;0;1;0
200070;8470002000704;ACNIBEN REPAIR GEL CR CALMA 40;12;0;0;1;0;1;2;1;1;2;1;2;1;;2024;12;;;;;;12;;1;3;4;4
327205;8470003272056;ACNOSAN SOLU 200 ML;2;0;0;0;0;0;1;0;0;1;0;0;0;;2024;2;;;;;;2;;0;1;1;0
ACOF7958;ACOF7958;ACOFAR VIVERA FRESHMINT 18 PERLAS 1 UNIDAD;115;6;10;7;32;3;9;1;15;10;6;10;6;;2024;115;;;;;;115;;23;44;26;22
ACOF9349;ACOF9349;ACOFAR VIVERA GEL CERO FLOR AZAHAR 750ML;3;0;1;1;0;0;0;0;0;1;0;0;0;;2024;3;;;;;;3;;2;0;1;0
102506;8470001025067;ACOFAR VIVERA GEL CERO TRIPLO 3X750 ML;4;0;1;0;0;1;0;1;0;0;1;0;0;;2024;4;;;;;;4;;1;1;1;1
153503;8470001535030;ACOFARBABY ALIMENTADOR ANTIAHOGO;1;0;0;0;0;0;0;0;0;0;0;1;0;;2024;1;;;;;;1;;0;0;0;1
166270;8470001662705;ACOFARBABY PASTA AL AGUA 1 TUBO 75 ml;3;0;0;1;0;2;0;0;0;0;0;0;0;;2024;3;;;;;;3;;1;2;0;0
161766;8470001617668;ACOFARMA NESIRA AMPOLLAS ANTICAIDA FORTE 15 AMPOLLAS 5 ml;1;1;0;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
236737;8470002367371;ACOFARMA NESIRA EDULCORANTE DE MESA 2 ENVASES 500 COMPRIMIDOS;1;0;0;0;0;0;0;0;0;1;0;0;0;;2024;1;;;;;;1;;0;0;1;0
166697;8470001666970;ACOFARMA NESIRA EUCALIPTO HOJAS 1 ENVASE 80 g;3;0;0;0;0;0;0;0;1;0;0;1;1;;2024;3;;;;;;3;;0;0;1;2
200939;8470002009394;ACOFARMA NESIRA GEL ACEITE OLIVA/OMEGA 1 ENVASE 750 ml;4;0;0;0;1;0;0;1;1;0;0;1;0;;2024;4;;;;;;4;;0;1;2;1
200936;8470002009363;ACOFARMA NESIRA GEL ALMENDRAS DULCES Y MIEL 1 ENVASE 750 ml;7;2;0;2;0;1;0;0;0;0;0;2;0;;2024;7;;;;;;7;;4;1;0;2
201811;8470002018112;ACOFARMA NESIRA GEL ALOE VERA + VITAMINA E 1 BOTELLA 1 l;2;0;0;0;0;0;0;2;0;0;0;0;0;;2024;2;;;;;;2;;0;0;2;0
200930;8470002009301;ACOFARMA NESIRA GEL AVENA 1 ENVASE 750 ml;5;0;0;2;0;0;1;0;2;0;0;0;0;;2024;5;;;;;;5;;2;1;2;0
200933;8470002009332;ACOFARMA NESIRA GEL CERO 1 ENVASE 750 ml CAMOMILA;2;0;0;1;0;0;0;1;0;0;0;0;0;;2024;2;;;;;;2;;1;0;1;0
200929;8470002009295;ACOFARMA NESIRA GEL COCO 1 ENVASE 750 ml;3;0;0;1;0;0;0;0;0;0;1;0;1;;2024;3;;;;;;3;;1;0;0;2
200940;8470002009400;ACOFARMA NESIRA GEL DE VAINILLA 1 ENVASE 750 ml;5;1;0;0;1;2;1;0;0;0;0;0;0;;2024;5;;;;;;5;;1;4;0;0
200938;8470002009387;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ALGAS Y COLAGENO MARINO;4;1;0;1;0;0;1;1;0;0;0;0;0;;2024;4;;;;;;4;;2;1;1;0
211569;8470002115699;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml ARANDANO AZUL;5;0;0;1;1;1;0;0;0;2;0;0;0;;2024;5;;;;;;5;;1;2;2;0
200937;8470002009370;ACOFARMA NESIRA GEL DERMATOLOGICO 1 ENVASE 750 ml EXTRACTO DE GRANADA;3;0;0;1;0;0;0;0;0;1;0;0;1;;2024;3;;;;;;3;;1;0;1;1
200932;8470002009325;ACOFARMA NESIRA GEL DERMATOLOGICO CERO 1 ENVASE 750 ml ORIGINAL;4;0;0;0;0;1;2;1;0;0;0;0;0;;2024;4;;;;;;4;;0;3;1;0
200941;8470002009417;ACOFARMA NESIRA GEL LECHE ALGODON 1 ENVASE 750 ml;12;1;0;0;0;1;0;1;0;1;0;8;0;;2024;12;;;;;;12;;1;1;2;8
200950;8470002009509;ACOFARMA NESIRA JABON DE MANOS ACEITE DE OLIVA 1 ENVASE 500 ml;1;0;0;0;0;0;0;0;0;1;0;0;0;;2024;1;;;;;;1;;0;0;1;0
200952;8470002009523;ACOFARMA NESIRA JABON DE MANOS EXTRACTO DE GRANADA 1 ENVASE 500 ml;2;0;0;1;0;0;0;0;0;0;1;0;0;;2024;2;;;;;;2;;1;0;0;1
200953;8470002009530;ACOFARMA NESIRA JABON MANOS ALMENDRAS DULCES Y MIEL 1 ENVASE 500 ml;5;1;0;2;0;0;0;2;0;0;0;0;0;;2024;5;;;;;;5;;3;0;2;0
200951;8470002009516;ACOFARMA NESIRA JABON MANOS ALOE VERA 1 ENVASE 500 ml;1;0;0;0;0;0;0;0;0;0;1;0;0;;2024;1;;;;;;1;;0;0;0;1
210980;8470002109803;ACOFARMA NESIRA JABON MANOS ESPUMA ARANDANO 1 ENVASE 250 ml;1;0;1;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
210981;8470002109810;ACOFARMA NESIRA JABON MANOS ESPUMA COCO 1 ENVASE 250 ml;2;0;1;0;0;0;0;0;0;0;1;0;0;;2024;2;;;;;;2;;1;0;0;1
198875;8470001988751;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA FLOR DE LOTO;4;0;0;1;0;0;2;0;0;0;0;0;1;;2024;4;;;;;;4;;1;2;0;1
198877;8470001988775;ACOFARMA NESIRA JABON PASTILLA DE MANOS 1 ENVASE 100 g AROMA LIRIO DE AGUA;2;0;1;0;0;0;1;0;0;0;0;-1;1;;2024;2;;;;;;2;;1;1;0;0
198876;8470001988768;ACOFARMA NESIRA JABON PASTILLA MANOS 1 ENVASE 100 g AROMA ROSA CORAL;4;0;1;0;0;0;1;0;0;0;0;1;1;;2024;4;;;;;;4;;1;1;0;2
172104;8470001721044;ACOFARMA NESIRA MELATONINA 1,95 mg 60 COMPRIMIDOS;7;1;0;0;0;1;0;0;1;2;0;0;2;;2024;7;;;;;;7;;1;1;3;2
150400;8470001504005;ACOFARMA NESIRA SOLUCION UNICA PARA LENTILLAS 2 UNIDADES 250 ml;2;0;0;0;0;0;0;0;0;1;0;1;0;;2024;2;;;;;;2;;0;0;1;1
197649;8470001976499;ACOFARMA NESIRA SPF 15 PROTECTOR LABIAL 1 ENVASE 4,5 g;22;0;0;0;1;1;4;9;3;1;1;1;1;;2024;22;;;;;;22;;0;6;13;3
198563;8470001985637;ACOFARMA NESIRA SPF 50+ PROTECTOR LABIAL 1 ENVASE 5 g;4;1;0;0;0;0;0;0;0;0;2;0;1;;2024;4;;;;;;4;;1;0;0;3
184927;8470001849274;ACOFARMA NESIRA SUE�O 30 COMPRIMIDOS;1;1;0;0;0;0;0;0;0;0;0;0;0;;2024;1;;;;;;1;;1;0;0;0
196471;8470001964717;ACOFARMA NESIRA TOALLITAS PARA HIGIENE OCULAR 30 UNIDADES;7;0;0;0;0;0;0;1;0;1;3;2;0;;2024;7;;;;;;7;;0;0;2;5
