Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA
714973;TRINOMIA 100402.5 28 CAPS;MEDICAMENTO;C10B;Ferrer Internacional S.A.;""
715017;DOLOSTOP 1G 10 COMP;MEDICAMENTO;N02B;Kern Pharma S.L.;""
715058;ESOMEPRAZOL NORMON 40MG 28CAPS;MEDICAMENTO;A02B;Laboratorios Normon S.A.;""
715128;ZOMIG 5 MG 2 PULVER NASAL;MEDICAMENTO;N02C;Grünenthal Pharma S.A.;""
715238;VIDESIL 50.000UI 1 AMP;MEDICAMENTO;A11C;Laboratorios Gebro Pharma S.A.;""
716198;ALZIL 5 MG 28 COM;MEDICAMENTO;C10A;Ferrer Internacional S.A.;""
716622;DOLNA 0.120.015MG 3 ANILLOS;MEDICAMENTO;G02B;Laboratorios Cinfa S.A.;""
716849;CASENLAX 10 G 30 SOBRES;MEDICAMENTO;A06A;Casen Recordati S.L.;""
718239;PONTALSIC 37.5MG325MG 20 COMP;MEDICAMENTO;N02A;Grünenthal Pharma S.A.;""
718685;ELVANSE ADULTOS 30 MG 30 CAPS;MEDICAMENTO;N06B;Takeda Pharmaceuticals International Ag Ireland Branch;""
718687;ELVANSE ADULTOS 50 MG 30 CAPS;MEDICAMENTO;N06B;Takeda Pharmaceuticals International Ag Ireland Branch;""
718689;ELVANSE ADULTOS 70 MG 30 CAPS;MEDICAMENTO;N06B;Takeda Pharmaceuticals International Ag Ireland Branch;""
718846;IBUPROFENO STADA 400MG 20SOB;MEDICAMENTO;M01A;Laboratorio Stada S.L.;""
719140;VENLAFAXINA RET STADA225MG30CA;MEDICAMENTO;N06A;Laboratorio Stada S.L.;""
719192;EZETIMSIMVA NORMON 1020MG28C;MEDICAMENTO;C10B;Laboratorios Normon S.A.;""
719296;ENOXAPARINA ROVI 60 MG 2 JRG;MEDICAMENTO;B01A;Laboratorios Farmaceuticos Rovi S.A.;""
719298;ENOXAPARINA ROVI 60 MG 10 JRG;MEDICAMENTO;B01A;Laboratorios Farmaceuticos Rovi S.A.;""
719351;BLASTOESTIMULINA POLVO 5 G;MEDICAMENTO;D03A;Almirall S.A.;""
